23,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj FROM ..PhotoObj AS p JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON p.objID = b.objID"
2019-02-13 19:46:00,1
2019-02-13 20:45:00,1
2019-03-20 18:32:00,1
2019-08-05 20:41:00,1
2019-08-21 19:15:00,4
2019-09-06 18:25:00,1
2019-09-06 19:42:00,1
2019-09-16 20:06:00,2
2019-10-21 19:08:00,1
2019-10-21 19:13:00,1
2019-11-19 20:04:00,1
2019-11-19 20:08:00,2
2019-11-19 20:10:00,1
2019-11-20 15:05:00,1
2019-11-20 15:07:00,1
2019-11-21 16:13:00,1
2019-11-21 16:28:00,1
2019-11-21 16:37:00,1
