28,select objid from photoobj where photoobj.dec between -.# and .# and photoobj.ra between # and #
2019-02-26 23:27:00,3
2019-02-27 01:27:00,1
2019-02-28 00:19:00,1
2019-02-28 00:20:00,1
2019-03-02 09:15:00,2
2019-03-03 13:58:00,2
2019-03-03 13:59:00,1
2019-03-03 14:37:00,1
2019-03-03 14:43:00,1
2019-03-04 20:50:00,2
2019-03-04 20:51:00,1
2019-03-05 06:08:00,4
2019-03-08 02:56:00,1
2019-03-08 09:19:00,1
2019-03-14 07:02:00,3
2019-03-14 09:50:00,1
2019-03-14 13:23:00,1
2019-03-14 13:53:00,1
