174,"SELECT TOP # s.ra, s.dec, s.psfmag_g, (s.psfmag_g - s.psfmag_r) as gmr, pm.pmra, pm.pmdec, pm.pmraerr, pm.pmdecerr, pm.pml, pm.pmb FROM star s JOIN propermotions pm ON s.objid = pm.objid WHERE s.ra between #-# and # # and s.dec between #-# and # #"
2019-01-01 11:09:00,1
2019-01-02 00:19:00,1
2019-01-02 00:49:00,1
2019-01-06 12:41:00,1
2019-01-07 00:11:00,1
2019-01-07 23:32:00,1
2019-01-08 03:30:00,1
2019-01-08 06:28:00,1
2019-01-08 07:28:00,1
2019-01-08 08:42:00,1
2019-01-11 04:44:00,1
2019-01-12 03:18:00,1
2019-01-13 08:31:00,1
2019-01-13 09:11:00,1
2019-01-22 08:28:00,1
2019-01-23 23:27:00,1
2019-01-25 15:58:00,1
2019-01-30 09:31:00,1
2019-02-04 13:40:00,1
2019-02-04 14:12:00,1
2019-02-04 14:42:00,1
2019-02-08 01:32:00,1
2019-02-08 18:13:00,1
2019-02-08 22:19:00,1
2019-02-09 17:35:00,1
2019-02-10 05:54:00,1
2019-02-10 09:44:00,1
2019-02-11 11:15:00,1
2019-02-14 12:12:00,1
2019-02-14 18:51:00,1
2019-02-18 03:07:00,1
2019-02-24 11:53:00,1
2019-02-27 19:51:00,1
2019-02-27 22:31:00,1
2019-02-28 03:35:00,1
2019-03-01 12:59:00,1
2019-03-01 22:35:00,1
2019-03-02 02:10:00,1
2019-03-02 22:41:00,1
2019-03-05 07:34:00,1
2019-03-05 08:54:00,1
2019-03-10 18:12:00,1
2019-03-26 19:55:00,1
2019-03-26 20:30:00,1
2019-03-26 20:58:00,1
2019-03-28 16:16:00,1
2019-03-28 19:59:00,1
2019-04-01 06:24:00,1
2019-04-01 18:26:00,1
2019-04-01 22:19:00,1
2019-04-08 15:38:00,1
2019-04-08 18:50:00,1
2019-04-09 12:28:00,1
2019-04-09 21:17:00,1
2019-04-09 21:21:00,1
2019-04-09 21:23:00,1
2019-04-10 00:37:00,1
2019-04-16 18:45:00,1
2019-04-18 05:51:00,1
2019-04-18 21:56:00,1
2019-04-19 01:42:00,1
2019-04-19 10:02:00,1
2019-04-19 19:07:00,1
2019-05-01 15:04:00,1
2019-05-02 11:19:00,1
2019-05-03 04:43:00,1
2019-05-03 14:48:00,1
2019-05-03 17:27:00,1
2019-05-10 16:25:00,1
2019-05-15 23:58:00,1
2019-05-16 00:43:00,1
2019-05-18 20:35:00,1
2019-05-18 21:24:00,1
2019-05-18 22:02:00,1
2019-05-23 10:01:00,1
2019-05-23 13:34:00,1
2019-05-24 02:15:00,1
2019-05-24 08:57:00,1
2019-05-24 13:32:00,1
2019-06-10 21:05:00,1
2019-06-10 21:22:00,1
2019-06-15 09:28:00,1
2019-06-17 09:52:00,1
2019-06-18 11:52:00,1
2019-06-18 13:14:00,1
2019-06-18 14:48:00,1
2019-06-20 00:11:00,1
2019-06-20 03:56:00,1
2019-06-21 00:53:00,1
2019-06-23 15:37:00,1
2019-06-24 00:28:00,1
2019-06-25 12:34:00,1
2019-06-29 05:35:00,1
2019-07-01 21:27:00,1
2019-07-02 01:31:00,1
2019-07-02 15:18:00,1
2019-07-02 19:45:00,1
2019-07-03 14:23:00,1
2019-07-12 19:14:00,1
2019-07-14 08:17:00,1
2019-07-20 00:23:00,1
2019-07-20 05:31:00,1
2019-07-21 06:55:00,1
2019-07-22 05:31:00,1
2019-07-24 02:11:00,1
2019-07-24 08:14:00,1
2019-07-25 05:13:00,1
2019-07-25 23:07:00,1
2019-08-06 02:37:00,1
2019-08-14 22:50:00,1
2019-08-15 03:53:00,1
2019-08-16 07:07:00,1
2019-08-16 23:44:00,1
2019-08-17 09:16:00,1
2019-08-20 23:06:00,1
2019-08-21 04:46:00,1
2019-08-22 07:41:00,1
2019-08-23 01:43:00,1
2019-08-23 08:01:00,1
2019-08-30 11:14:00,1
2019-08-31 08:41:00,1
2019-09-05 22:35:00,1
2019-09-06 21:59:00,1
2019-09-07 10:38:00,1
2019-09-13 00:35:00,1
2019-09-13 05:10:00,1
2019-09-14 17:55:00,1
2019-09-15 00:00:00,1
2019-09-15 07:01:00,1
2019-09-15 08:04:00,1
2019-09-27 23:58:00,1
2019-09-28 04:50:00,1
2019-09-30 01:48:00,1
2019-09-30 07:55:00,1
2019-10-19 09:59:00,1
2019-10-19 17:38:00,1
2019-10-21 00:23:00,1
2019-10-22 03:55:00,1
2019-10-22 10:09:00,1
2019-10-22 20:26:00,1
2019-10-22 21:01:00,1
2019-10-22 21:12:00,1
2019-10-22 21:33:00,1
2019-10-23 14:55:00,1
2019-10-24 09:48:00,1
2019-10-24 16:35:00,1
2019-10-24 21:28:00,1
2019-10-24 21:38:00,1
2019-10-25 00:13:00,1
2019-10-25 00:36:00,1
2019-10-25 00:46:00,1
2019-10-26 18:04:00,1
2019-10-26 19:35:00,1
2019-10-27 10:09:00,1
2019-10-30 20:53:00,1
2019-10-30 23:46:00,1
2019-10-31 04:10:00,1
2019-11-01 05:30:00,1
2019-11-02 01:09:00,1
2019-11-02 07:08:00,1
2019-11-20 04:49:00,1
2019-11-20 12:35:00,1
2019-11-21 20:11:00,1
2019-11-22 18:42:00,1
2019-11-23 00:33:00,1
2019-12-03 01:11:00,1
2019-12-03 08:30:00,1
2019-12-04 11:16:00,1
2019-12-05 11:14:00,1
2019-12-05 19:12:00,1
2019-12-18 01:02:00,1
2019-12-18 01:31:00,1
2019-12-29 06:54:00,1
2019-12-31 00:04:00,1
