23,"select pa.objID, pa.ra, pa.dec, pa.type, pa.dered_u, pa.modelMag_u, pa.modelMagErr_u, pa.dered_g, pa.modelMag_g, pa.modelMagErr_g, pa.dered_r, pa.modelMag_r, pa.modelMagErr_r, pa.dered_i, pa.modelMag_i, pa.modelMagErr_i, pa.dered_z, pa.modelMag_z, pa.modelMagErr_z into mydb.S8#PhotoObj_#A from PhotoObjAll as pa WHERE (pa.dec between # and #.) and (pa.ra between # and #) and ( (pa.flags & #) = #) and ( (pa.flags & #) = #) and ( (pa.flags & #) = # or pa.psfMagErr_r< =#) and ( (pa.flags & #) = #) and ( (pa.type) = # or (pa.type) = #)"
2019-07-08 05:15:00,1
2019-07-08 05:19:00,1
2019-07-08 05:24:00,1
2019-07-08 05:32:00,1
2019-07-08 05:38:00,1
2019-07-08 05:50:00,1
2019-07-08 06:00:00,1
2019-07-08 06:06:00,1
2019-07-08 06:09:00,1
2019-07-08 06:12:00,1
2019-07-08 06:16:00,1
2019-07-08 06:21:00,1
2019-07-08 06:25:00,1
2019-07-08 06:29:00,1
2019-07-08 06:37:00,1
2019-07-08 06:47:00,1
2019-07-08 06:56:00,1
2019-07-08 07:05:00,1
2019-07-08 07:18:00,1
2019-07-08 07:29:00,1
2019-07-08 07:41:00,1
2019-07-08 07:46:00,1
2019-07-08 07:54:00,1
