16,"SELECT # * n.distance, o.ra, o.dec, class, o.specObjID, survey, o.plate, o.z from fGetNearbySpecObjAllEq (#, #, # / #.) n join SpecObjAll o on o.specObjID = n.specObjID order by #"
2019-01-09 05:49:00,1
2019-01-09 06:17:00,1
2019-01-30 03:59:00,1
2019-01-30 04:00:00,1
2019-02-08 10:22:00,2
2019-02-14 15:23:00,1
2019-02-14 15:24:00,1
2019-03-18 12:30:00,1
2019-03-18 12:44:00,1
2019-03-18 12:46:00,1
2019-03-18 12:48:00,1
2019-03-18 12:53:00,1
2019-03-18 12:55:00,1
2019-03-18 12:56:00,1
2019-04-24 12:48:00,1
