378,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum (s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type = # AND s.SourceType! =# AND s.snMedian> #"
2019-07-04 15:01:00,1
2019-07-04 15:02:00,10
2019-07-04 15:03:00,11
2019-07-04 15:04:00,8
2019-07-04 15:44:00,3
2019-07-04 15:45:00,8
2019-07-04 15:46:00,9
2019-07-04 15:47:00,9
2019-07-04 15:48:00,9
2019-07-04 15:49:00,7
2019-07-04 15:50:00,6
2019-07-04 15:51:00,4
2019-07-04 17:11:00,1
2019-07-04 17:13:00,1
2019-07-04 17:14:00,1
2019-07-04 17:15:00,1
2019-07-04 17:20:00,1
2019-07-04 19:40:00,1
2019-07-04 19:41:00,4
2019-07-04 19:42:00,6
2019-07-04 19:43:00,5
2019-07-04 19:44:00,5
2019-07-04 19:45:00,5
2019-07-04 19:46:00,6
2019-07-04 19:47:00,5
2019-07-04 19:48:00,6
2019-07-04 19:49:00,6
2019-07-04 19:50:00,7
2019-07-04 19:51:00,7
2019-07-04 19:52:00,7
2019-07-04 19:53:00,7
2019-07-04 19:54:00,7
2019-07-04 19:55:00,7
2019-07-04 19:56:00,7
2019-07-04 19:57:00,7
2019-07-04 19:58:00,7
2019-07-04 19:59:00,7
2019-07-04 20:00:00,7
2019-07-04 20:01:00,8
2019-07-04 20:02:00,7
2019-07-04 20:03:00,7
2019-07-04 20:04:00,7
2019-07-04 20:05:00,7
2019-07-04 20:06:00,7
2019-07-04 20:07:00,7
2019-07-04 20:08:00,7
2019-07-04 20:09:00,6
2019-07-04 20:10:00,7
2019-07-04 20:11:00,6
2019-07-04 20:12:00,6
2019-07-04 20:13:00,6
2019-07-04 20:14:00,5
2019-07-04 20:15:00,5
2019-07-04 20:16:00,7
2019-07-04 20:17:00,6
2019-07-04 20:18:00,6
2019-07-04 20:19:00,6
2019-07-04 20:20:00,5
2019-07-04 20:21:00,7
2019-07-04 20:22:00,7
2019-07-04 20:23:00,8
2019-07-04 20:24:00,7
2019-07-04 20:25:00,4
2019-07-05 10:11:00,1
