24614,"SELECT objid, ra, dec, u, g, r, i, z FROM PhotoObj WHERE ra< (#) AND ra> (#) AND dec< (#) AND dec> (#) AND type = #"
2019-12-18 09:28:00,27
2019-12-18 09:29:00,45
2019-12-18 09:30:00,45
2019-12-18 09:31:00,46
2019-12-18 09:32:00,48
2019-12-18 09:33:00,50
2019-12-18 09:34:00,50
2019-12-18 09:35:00,52
2019-12-18 09:36:00,53
2019-12-18 09:37:00,53
2019-12-18 09:38:00,54
2019-12-18 09:39:00,51
2019-12-18 09:40:00,50
2019-12-18 09:41:00,56
2019-12-18 09:42:00,51
2019-12-18 09:43:00,45
2019-12-18 09:44:00,39
2019-12-18 09:45:00,25
2019-12-18 09:46:00,40
2019-12-18 09:47:00,42
2019-12-18 09:48:00,45
2019-12-18 09:49:00,44
2019-12-18 09:50:00,3
2019-12-18 09:52:00,49
2019-12-18 09:53:00,64
2019-12-18 09:54:00,68
2019-12-18 09:55:00,67
2019-12-18 09:56:00,70
2019-12-18 09:57:00,66
2019-12-18 09:58:00,72
2019-12-18 09:59:00,63
2019-12-18 10:00:00,68
2019-12-18 10:01:00,62
2019-12-18 10:02:00,64
2019-12-18 10:03:00,54
2019-12-18 10:04:00,48
2019-12-18 10:05:00,31
2019-12-18 10:06:00,47
2019-12-18 10:07:00,50
2019-12-18 10:08:00,49
2019-12-18 10:09:00,42
2019-12-18 10:10:00,46
2019-12-18 10:11:00,42
2019-12-18 10:12:00,46
2019-12-18 10:13:00,42
2019-12-18 10:14:00,43
2019-12-18 10:15:00,45
2019-12-18 10:16:00,46
2019-12-18 10:17:00,44
2019-12-18 10:18:00,52
2019-12-18 10:19:00,48
2019-12-18 10:20:00,49
2019-12-18 10:21:00,54
2019-12-18 10:22:00,61
2019-12-18 10:23:00,1
2019-12-18 10:26:00,42
2019-12-18 10:27:00,73
2019-12-18 10:28:00,76
2019-12-18 10:29:00,74
2019-12-18 10:30:00,80
2019-12-18 10:31:00,73
2019-12-18 10:32:00,81
2019-12-18 10:33:00,69
2019-12-18 10:34:00,68
2019-12-18 10:35:00,72
2019-12-18 10:36:00,59
2019-12-18 10:37:00,48
2019-12-18 10:38:00,27
2019-12-18 10:39:00,48
2019-12-18 10:40:00,54
2019-12-18 10:41:00,46
2019-12-18 10:42:00,38
2019-12-18 10:43:00,43
2019-12-18 10:44:00,49
2019-12-18 10:45:00,49
2019-12-18 10:46:00,47
2019-12-18 10:47:00,47
2019-12-18 10:48:00,53
2019-12-18 10:49:00,49
2019-12-18 10:50:00,59
2019-12-18 10:51:00,53
2019-12-18 10:52:00,46
2019-12-18 10:53:00,54
2019-12-18 10:54:00,71
2019-12-18 10:55:00,5
2019-12-18 11:06:00,25
2019-12-18 11:07:00,73
2019-12-18 11:08:00,77
2019-12-18 11:09:00,76
2019-12-18 11:10:00,81
2019-12-18 11:11:00,78
2019-12-18 11:12:00,82
2019-12-18 11:13:00,76
2019-12-18 11:14:00,72
2019-12-18 11:15:00,72
2019-12-18 11:16:00,56
2019-12-18 11:17:00,48
2019-12-18 11:18:00,30
2019-12-18 11:19:00,52
2019-12-18 11:20:00,55
2019-12-18 11:21:00,51
2019-12-18 11:22:00,51
2019-12-18 11:23:00,51
2019-12-18 11:24:00,53
2019-12-18 11:25:00,46
2019-12-18 11:26:00,52
2019-12-18 11:27:00,53
2019-12-18 11:28:00,50
2019-12-18 11:29:00,55
2019-12-18 11:30:00,56
2019-12-18 11:31:00,52
2019-12-18 11:32:00,63
2019-12-18 11:33:00,67
2019-12-18 13:25:00,36
2019-12-18 13:26:00,50
2019-12-18 13:27:00,48
2019-12-18 13:28:00,47
2019-12-18 13:29:00,48
2019-12-18 13:30:00,50
2019-12-18 13:31:00,50
2019-12-18 13:32:00,53
2019-12-18 13:33:00,45
2019-12-18 13:34:00,50
2019-12-18 13:35:00,52
2019-12-18 13:36:00,45
2019-12-18 13:37:00,54
2019-12-18 13:38:00,59
2019-12-18 13:39:00,50
2019-12-18 13:40:00,48
2019-12-18 13:41:00,35
2019-12-18 13:42:00,28
