29147,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-02-18 16:53:00,2
2019-02-18 16:54:00,4
2019-02-18 16:55:00,3
2019-02-18 16:56:00,1
2019-02-18 16:59:00,1
2019-02-18 17:03:00,1
2019-02-18 17:09:00,2
2019-02-18 17:30:00,2
2019-02-18 17:31:00,2
2019-02-18 17:32:00,2
2019-02-18 17:37:00,2
2019-02-18 17:38:00,2
2019-02-18 17:44:00,2
2019-02-18 17:46:00,1
2019-02-18 17:52:00,2
2019-02-18 17:57:00,3
2019-02-18 17:58:00,3
2019-02-18 17:59:00,2
2019-02-18 18:00:00,2
2019-02-18 18:03:00,2
2019-02-18 18:04:00,2
2019-02-18 18:10:00,2
2019-02-18 18:12:00,2
2019-02-18 18:29:00,1
2019-02-18 18:43:00,1
2019-02-19 12:12:00,1
2019-02-19 12:19:00,1
2019-02-19 12:32:00,1
2019-02-19 12:57:00,1
2019-02-19 13:38:00,1
2019-02-19 13:43:00,1
2019-02-19 13:47:00,1
2019-02-19 13:51:00,1
2019-02-19 13:56:00,1
2019-02-19 15:00:00,1
2019-02-19 15:02:00,1
2019-02-19 15:08:00,1
2019-02-19 15:12:00,1
2019-02-19 15:16:00,1
2019-02-19 15:43:00,1
2019-02-20 16:19:00,1
2019-02-20 16:21:00,1
2019-02-20 16:36:00,1
2019-02-20 16:49:00,1
2019-02-20 16:59:00,1
2019-02-20 17:01:00,2
2019-02-20 17:14:00,1
2019-02-20 17:59:00,1
2019-02-20 18:27:00,1
2019-02-20 19:12:00,1
2019-02-20 19:35:00,1
2019-02-20 20:38:00,1
2019-02-20 20:57:00,1
2019-02-20 21:19:00,2
2019-02-20 21:23:00,1
2019-02-20 21:24:00,1
2019-02-20 21:25:00,2
2019-02-21 13:53:00,1
2019-02-21 15:19:00,1
2019-02-21 15:36:00,1
2019-02-21 18:14:00,7
2019-02-21 18:15:00,8
2019-02-21 18:26:00,4
2019-02-21 18:43:00,6
2019-02-21 18:44:00,6
2019-02-21 18:45:00,14
2019-02-21 18:46:00,7
2019-02-21 18:47:00,11
2019-02-21 18:48:00,12
2019-02-21 18:49:00,18
2019-02-21 18:50:00,23
2019-02-21 18:51:00,25
2019-02-21 18:52:00,20
2019-02-21 18:53:00,22
2019-02-21 18:54:00,25
2019-02-21 18:55:00,19
2019-02-21 18:56:00,19
2019-02-21 18:57:00,25
2019-02-21 18:58:00,22
2019-02-21 18:59:00,17
2019-02-21 19:00:00,19
2019-02-21 19:01:00,19
2019-02-21 19:02:00,22
2019-02-21 19:03:00,16
2019-02-21 19:04:00,8
2019-02-21 19:05:00,9
2019-02-21 19:06:00,11
2019-02-21 19:07:00,8
2019-02-21 19:08:00,10
2019-02-21 19:09:00,11
2019-02-21 19:10:00,11
2019-02-21 19:11:00,3
2019-02-22 09:42:00,6
2019-02-22 09:43:00,17
2019-02-22 09:44:00,18
2019-02-22 09:45:00,18
2019-02-22 09:46:00,14
2019-02-22 09:47:00,23
2019-02-22 09:48:00,20
2019-02-22 09:49:00,18
2019-02-22 09:50:00,20
2019-02-22 09:51:00,19
2019-02-22 09:52:00,25
2019-02-22 09:53:00,17
2019-02-22 09:54:00,20
2019-02-22 09:55:00,4
2019-02-22 10:39:00,10
2019-02-22 10:40:00,19
2019-02-22 10:41:00,23
2019-02-22 10:42:00,21
2019-02-22 10:43:00,22
2019-02-22 10:44:00,7
2019-02-22 10:45:00,10
2019-02-22 10:46:00,12
2019-02-22 10:47:00,10
2019-02-22 10:48:00,6
2019-02-22 10:49:00,15
2019-02-22 10:50:00,12
2019-02-22 10:51:00,13
2019-02-22 10:52:00,5
2019-02-22 10:53:00,15
2019-02-22 10:54:00,9
2019-02-22 10:55:00,14
2019-02-22 10:56:00,8
2019-02-22 10:57:00,14
2019-02-22 10:58:00,10
2019-02-22 10:59:00,11
2019-02-22 11:00:00,11
2019-02-22 11:01:00,10
2019-02-22 11:02:00,10
2019-02-22 11:03:00,14
2019-02-22 11:04:00,9
2019-02-22 11:05:00,11
2019-02-22 11:06:00,12
2019-02-22 11:07:00,12
2019-02-22 11:08:00,15
2019-02-22 11:09:00,8
2019-02-22 11:10:00,11
2019-02-22 12:01:00,9
2019-02-22 12:02:00,13
2019-02-22 12:03:00,14
2019-02-22 12:04:00,5
