65,"select top # ObjID, z, ra, dec, cModelMag_r, cModelMag_i, cModelMag_g, extinction_g, extinction_r, extinction_i from SpecPhoto where (abs (ra - #) < #) and (abs (dec - #) < #) and (abs (z - #) < #) and (class = #)"
2019-06-24 15:04:00,1
2019-06-28 04:14:00,1
2019-06-28 19:13:00,1
2019-06-29 19:10:00,1
2019-06-29 19:15:00,1
2019-06-29 19:18:00,1
2019-06-29 19:26:00,1
2019-06-29 19:30:00,1
2019-06-29 19:32:00,1
2019-06-29 19:34:00,1
2019-06-29 19:35:00,1
2019-06-29 19:37:00,1
2019-06-29 19:39:00,1
2019-06-29 19:40:00,1
2019-06-29 19:43:00,1
2019-07-22 06:56:00,1
2019-07-22 07:00:00,1
2019-07-22 07:14:00,1
2019-07-24 05:52:00,1
2019-07-24 06:18:00,1
2019-07-24 06:19:00,1
2019-07-24 18:53:00,1
2019-07-24 19:08:00,1
2019-07-24 19:10:00,1
2019-07-24 19:11:00,1
2019-07-24 19:12:00,1
2019-07-24 19:13:00,1
2019-07-24 19:18:00,1
2019-07-24 19:19:00,1
2019-07-24 19:22:00,1
2019-07-24 19:23:00,1
2019-07-24 21:31:00,1
2019-07-24 21:32:00,1
2019-07-24 22:56:00,1
2019-07-24 23:03:00,1
2019-07-25 01:56:00,1
2019-07-25 01:57:00,1
2019-07-25 02:08:00,1
2019-07-25 02:15:00,1
2019-07-25 02:16:00,1
2019-07-25 02:19:00,1
2019-07-25 03:31:00,1
2019-07-30 22:03:00,2
2019-08-09 21:57:00,1
2019-08-09 22:00:00,1
2019-11-11 20:27:00,1
2019-11-11 20:34:00,1
2019-11-11 21:15:00,1
2019-11-11 21:20:00,1
2019-11-11 21:21:00,1
2019-11-11 21:31:00,1
2019-11-11 21:33:00,1
2019-11-11 21:36:00,1
2019-11-11 21:49:00,1
2019-11-11 21:51:00,1
2019-11-13 21:41:00,1
2019-11-13 21:43:00,1
2019-11-14 01:17:00,1
2019-11-14 01:19:00,1
2019-11-14 01:20:00,1
2019-11-14 01:22:00,1
2019-11-14 01:23:00,1
2019-11-25 18:40:00,1
2019-12-10 22:21:00,1
