3,"SELECT A.IDX, A._RAJ2#_#, A._DEJ2#_#, C.class FROM MyDB.PairsWA AS A OUTER APPLY dbo.fGetNearestObjEq (A._RAJ2#_#, A._DEJ2#_#, #./#.) AS B LEFT OUTER JOIN SpecPhotoAll AS C ON B.objID = C.objID ORDER BY A.IDX INTO MyDB.WAPairsSpecPhotoAllQSOComp1"
2019-10-01 18:15:00,2
2019-10-01 18:16:00,1
