26,"SELECT TOP # ObjID FROM Galaxy as G WHERE G.lnlDev_r > G.lnlExp_r + # -- the likelihood of the deVaucouleours profile fit is #% greater than the likelihood of the exponential fit and G.lnlExp_r > # -- and the likelihoods are actually meaningful and (G.flags & (dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) )) > # --and it is detected from at least one of the binned images ? ?? and (G.flags & (dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) )) ! = dbo.fPhotoFlags (#) --and, if it is blended, it is either a child or not deblended further ? ? and (G.flags & (dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) )) = # -- and it is not near a ccd edge or saturated, where measurements may be bad and G.petroMag_i > # -- and it is fainter than # in i-band and (G.petroMag_r > # or G.petror5#_r > #) and (G.petroMag_r > # and G.g > # and G.r > # and G.i > #) and ( (G.petroMag_r - G.extinction_r) < # and (G.petroMag_r - G.extinction_r < (# + (#/#) * (G.g - G.r) + # * (G.r - G.i) - # * #) ) and ( (G.r - G.i - (G.g - G.r) /# - #) < #) and ( (G.r - G.i - (G.g - G.r) /# - #) > #) ) or ( (G.petroMag_r - G.extinction_r < #) and ( (G.r - G.i - (G.g - G.r) /# - #) > (# - #* (G.g - G.r) )) and ( (G.g - G.r) > (# + # * (G.r - G.i) )) ) -- and many constraints on colors and mags are met to make it have -- elliptical-type colors."
2019-02-28 15:34:00,2
2019-03-01 16:31:00,4
2019-03-01 16:32:00,2
2019-03-01 16:33:00,1
2019-05-02 14:01:00,1
2019-05-04 05:24:00,1
2019-05-05 10:07:00,1
2019-05-05 10:08:00,1
2019-05-06 04:38:00,2
2019-05-06 06:31:00,1
2019-05-06 06:32:00,1
2019-05-06 07:27:00,1
2019-05-06 19:04:00,1
2019-05-07 18:06:00,1
2019-05-12 12:45:00,1
2019-06-29 14:48:00,1
2019-08-07 10:33:00,1
2019-08-08 18:21:00,2
2019-08-09 02:18:00,1
