2,"SELECT n.sersic_n, n.iauname from DR1#.nsatlas as n where ( (n.ra-#) * (n.ra-#) + (n.dec+#) * (n.dec+#) ) < #"
2019-04-30 03:56:00,1
2019-04-30 04:10:00,1
