2,"SELECT s.objId, s.dec FROM #upload u, SpecObj s WHERE u.up_plate = s.plate and u.up_mjd = s.mjd and u.up_fiber = s.fiberid"
2019-11-05 07:07:00,1
2019-11-05 09:21:00,1
