7,"SELECT ra, dec, z FROM Galaxy WHERE ra between # and #"
2019-12-14 11:20:00,1
2019-12-14 11:22:00,1
2019-12-14 11:24:00,1
2019-12-14 11:25:00,2
2019-12-16 12:11:00,1
2019-12-16 12:12:00,1
