3,"SELECT TOP # s.ra, s.dec, g.d4#_sub, gSL.h_delta_eqw, gSI.v_disp, gSE.oh_p9#p5, gSL.h_alpha_flux, gSL.h_beta_flux, gSL.h_delta_flux, gSL.nii_#_flux, gSL.nii_#_flux, gSL.oiii_#_flux, gSL.oii_#_flux, gSL.oi_#_flux, gSL.oi_#_flux, sii_#_flux FROM galSpecIndx as g JOIN SpecObj AS s ON g.SpecobjID = s.SpecobjID JOIN galSpecLine as gSL ON gSL.SpecobjID = s.SpecobjID JOIN galSpecInfo as gSI ON gSI.SpecobjID = s.SpecobjID JOIN galSpecExtra as gSE ON gSE.SpecobjID = s.SpecobjID WHERE (s.ra between # and #) and (s.dec between # and #)"
2019-06-13 09:15:00,1
2019-06-13 12:17:00,1
2019-07-12 06:01:00,1
