13,"select objID, ra, dec, psfmag_r from photoObj where (ra between (#) and (#) or ra between (#) and (#) or ra between (#) and (#) ) and dec between (#) and (#) and psfmag_r < # AND clean = # AND (calibStatus_r & #) ! = #"
2019-04-25 08:07:00,1
2019-04-25 08:13:00,1
2019-04-29 07:59:00,1
2019-04-29 08:23:00,1
2019-04-30 15:45:00,1
2019-05-16 10:29:00,1
2019-05-17 15:16:00,1
2019-05-21 07:59:00,1
2019-05-23 13:13:00,1
2019-05-26 15:42:00,1
2019-05-26 16:26:00,1
2019-05-26 16:32:00,1
2019-05-26 16:40:00,1
