95,"SELECT TOP # cast (str (s.ra, #, #) as float) as ra, cast (str (s.[dec], #, #) as float) as dec, s.z, p.objID, p.r, p.u FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = # AND (s.class = #) AND (p.type = # OR p.type = #)"
2019-10-28 07:11:00,2
2019-10-28 07:14:00,3
2019-10-28 07:15:00,1
2019-10-28 07:16:00,1
2019-10-28 07:18:00,1
2019-10-28 07:21:00,3
2019-10-28 07:22:00,3
2019-10-28 07:23:00,1
2019-10-28 07:26:00,1
2019-10-28 07:30:00,1
2019-10-28 07:32:00,1
2019-10-28 07:36:00,1
2019-10-28 07:37:00,1
2019-10-28 07:40:00,1
2019-10-28 07:42:00,1
2019-10-28 07:43:00,1
2019-10-28 07:50:00,1
2019-10-28 07:53:00,1
2019-10-28 07:59:00,1
2019-10-29 09:49:00,1
2019-10-29 09:50:00,1
2019-10-29 09:51:00,2
2019-11-04 06:43:00,1
2019-11-04 06:44:00,6
2019-11-04 06:45:00,3
2019-11-04 06:46:00,1
2019-11-04 06:47:00,1
2019-11-04 06:48:00,1
2019-11-04 06:49:00,1
2019-11-04 06:50:00,5
2019-11-04 06:51:00,1
2019-11-04 06:53:00,1
2019-11-04 06:54:00,1
2019-11-04 06:55:00,2
2019-11-04 06:56:00,2
2019-11-04 06:57:00,3
2019-11-04 06:58:00,1
2019-11-04 07:01:00,1
2019-11-04 07:03:00,1
2019-11-04 07:05:00,4
2019-11-04 07:06:00,1
2019-11-04 07:07:00,2
2019-11-04 07:24:00,1
2019-11-04 07:28:00,1
2019-11-04 07:29:00,2
2019-11-04 07:30:00,2
2019-11-04 07:31:00,1
2019-11-04 07:32:00,2
2019-11-04 07:37:00,1
2019-11-04 07:39:00,1
2019-11-04 07:40:00,1
2019-11-04 07:43:00,1
2019-11-04 07:44:00,1
2019-11-04 07:45:00,1
2019-11-04 08:13:00,1
2019-11-04 08:14:00,1
2019-11-04 08:15:00,2
2019-11-08 06:15:00,1
2019-11-08 06:17:00,1
2019-11-08 06:19:00,2
2019-11-08 06:21:00,2
2019-11-08 06:22:00,1
