2,"SELECT p.objid, p.ra, p.dec, s.class, p.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z > # AND s.z < # AND s.class = GALAXY#"
2019-10-03 22:14:00,1
2019-10-03 22:17:00,1
