267,"SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_u, type_u, psfMagErr_u FROM PhotoPrimary WHERE (ra between # and #) and (dec between # and #)"
2019-01-03 18:23:00,1
2019-02-09 16:02:00,1
2019-02-09 16:04:00,1
2019-02-09 16:07:00,1
2019-02-09 16:10:00,1
2019-02-09 16:27:00,1
2019-02-09 16:31:00,1
2019-02-09 16:36:00,1
2019-02-09 16:46:00,1
2019-02-09 16:49:00,1
2019-02-09 16:53:00,1
2019-02-12 15:07:00,1
2019-02-20 19:03:00,1
2019-02-20 19:07:00,1
2019-02-20 19:32:00,1
2019-02-20 19:35:00,1
2019-02-20 19:38:00,1
2019-02-20 19:47:00,1
2019-02-25 22:08:00,1
2019-02-25 22:12:00,1
2019-02-25 22:18:00,1
2019-02-25 22:26:00,1
2019-02-25 22:33:00,1
2019-02-25 22:34:00,1
2019-02-26 01:28:00,1
2019-02-26 01:47:00,1
2019-02-26 17:49:00,1
2019-02-26 17:55:00,1
2019-03-01 16:20:00,1
2019-03-01 16:24:00,1
2019-03-01 16:29:00,1
2019-03-01 16:30:00,1
2019-03-01 16:32:00,1
2019-03-04 15:17:00,1
2019-03-04 15:20:00,1
2019-03-04 15:23:00,1
2019-03-04 15:28:00,1
2019-03-04 15:31:00,1
2019-03-04 15:34:00,1
2019-03-04 15:37:00,1
2019-03-05 17:13:00,1
2019-03-05 17:15:00,1
2019-03-05 17:16:00,1
2019-03-05 17:38:00,1
2019-03-14 17:04:00,1
2019-03-14 17:24:00,1
2019-03-14 17:28:00,1
2019-03-14 17:38:00,1
2019-03-14 17:44:00,1
2019-03-14 18:12:00,1
2019-03-15 15:44:00,1
2019-03-15 15:48:00,1
2019-03-15 16:31:00,1
2019-03-15 16:46:00,1
2019-03-15 16:52:00,1
2019-03-15 16:56:00,1
2019-03-16 16:49:00,1
2019-03-16 16:53:00,1
2019-03-16 17:07:00,1
2019-03-16 17:10:00,1
2019-03-16 17:17:00,1
2019-03-17 14:28:00,1
2019-03-17 14:31:00,1
2019-03-17 14:41:00,1
2019-03-17 14:45:00,1
2019-03-18 15:18:00,1
2019-03-18 16:16:00,1
2019-03-18 16:19:00,1
2019-03-19 18:44:00,1
2019-03-19 18:47:00,1
2019-03-19 18:52:00,1
2019-03-19 18:57:00,1
2019-03-19 19:01:00,1
2019-03-20 14:49:00,1
2019-03-20 14:54:00,1
2019-03-20 15:01:00,1
2019-03-23 14:13:00,1
2019-03-23 14:16:00,1
2019-03-23 14:22:00,1
2019-03-23 14:28:00,1
2019-03-23 14:32:00,1
2019-03-25 16:06:00,1
2019-03-25 16:16:00,1
2019-03-25 16:19:00,1
2019-03-25 16:21:00,1
2019-03-25 16:33:00,1
2019-03-25 16:35:00,1
2019-03-25 16:44:00,1
2019-03-25 16:48:00,1
2019-03-26 16:08:00,1
2019-03-26 16:11:00,1
2019-03-26 16:16:00,1
2019-03-26 16:21:00,1
2019-03-26 16:31:00,1
2019-03-26 16:35:00,1
2019-03-27 15:10:00,1
2019-03-27 15:14:00,1
2019-03-27 15:18:00,1
2019-03-27 15:21:00,1
2019-03-27 15:40:00,1
2019-03-30 15:48:00,1
2019-03-30 15:51:00,1
2019-03-30 15:58:00,1
2019-03-30 16:03:00,1
2019-03-31 16:01:00,1
2019-03-31 16:09:00,1
2019-03-31 16:28:00,1
2019-04-01 15:01:00,1
2019-04-01 15:03:00,1
2019-04-01 15:07:00,1
2019-04-01 15:12:00,1
2019-04-01 15:22:00,1
2019-04-01 15:25:00,1
2019-04-01 15:30:00,1
2019-04-01 15:32:00,1
2019-04-02 16:34:00,1
2019-04-02 16:58:00,1
2019-04-02 17:05:00,1
2019-04-04 14:30:00,1
2019-04-04 14:32:00,1
2019-04-04 14:34:00,1
2019-04-08 15:31:00,1
2019-04-08 15:36:00,1
2019-04-08 17:29:00,1
2019-04-08 17:35:00,1
2019-04-08 17:40:00,1
2019-04-10 14:36:00,1
2019-04-11 15:11:00,1
2019-04-12 14:15:00,1
2019-04-12 14:28:00,1
2019-04-15 16:11:00,1
2019-04-15 17:02:00,1
2019-04-16 14:04:00,1
2019-04-16 14:13:00,1
2019-04-17 04:02:00,1
2019-04-17 04:14:00,1
2019-04-18 14:51:00,1
2019-04-19 15:07:00,1
2019-04-21 14:32:00,1
2019-04-23 14:51:00,1
2019-04-24 14:18:00,1
2019-04-24 15:03:00,1
2019-04-29 14:10:00,1
2019-05-02 13:59:00,1
2019-05-09 16:29:00,1
2019-05-15 14:15:00,1
2019-05-16 14:38:00,1
2019-05-16 14:40:00,1
2019-05-16 14:44:00,1
2019-05-25 14:12:00,1
2019-05-30 14:35:00,1
2019-05-30 14:51:00,1
2019-05-30 15:08:00,1
2019-05-30 15:21:00,1
2019-05-31 15:22:00,1
2019-05-31 15:35:00,1
2019-05-31 15:56:00,1
2019-05-31 16:17:00,1
2019-06-01 15:02:00,1
2019-06-09 14:32:00,1
2019-06-09 15:19:00,1
2019-06-11 15:13:00,1
2019-06-15 14:59:00,1
2019-06-16 14:16:00,1
2019-06-17 15:09:00,1
2019-06-21 14:49:00,1
2019-06-21 14:54:00,1
2019-06-26 13:53:00,1
2019-06-26 14:26:00,1
2019-07-02 14:18:00,1
2019-07-03 14:41:00,1
2019-07-04 16:04:00,1
2019-07-07 14:42:00,1
2019-07-07 15:14:00,1
2019-07-08 14:13:00,1
2019-07-10 14:27:00,1
2019-07-10 14:52:00,1
2019-07-10 15:52:00,1
2019-07-12 14:17:00,1
2019-07-14 14:53:00,1
2019-07-15 15:12:00,1
2019-07-17 14:23:00,1
2019-07-18 16:38:00,1
2019-07-19 14:45:00,1
2019-07-19 15:02:00,1
2019-07-19 15:19:00,1
2019-07-22 14:45:00,1
2019-07-22 15:31:00,1
2019-07-26 14:19:00,1
2019-07-28 14:58:00,1
2019-07-30 14:37:00,1
2019-08-03 16:21:00,1
2019-08-03 16:39:00,1
2019-08-03 17:16:00,1
2019-08-04 14:41:00,1
2019-08-04 14:46:00,1
2019-08-04 15:14:00,1
2019-08-07 14:15:00,1
2019-08-10 14:43:00,1
2019-08-10 15:02:00,1
2019-08-10 15:52:00,1
2019-08-11 14:25:00,1
2019-08-14 14:56:00,1
2019-08-15 14:58:00,1
2019-08-18 13:44:00,1
2019-08-20 14:47:00,1
2019-08-26 14:30:00,1
2019-09-03 04:13:00,1
2019-09-03 05:30:00,1
2019-09-10 14:34:00,1
2019-09-16 13:45:00,1
2019-09-17 14:13:00,1
2019-09-23 14:33:00,1
2019-09-23 15:25:00,1
2019-09-25 14:17:00,1
2019-09-28 14:17:00,1
2019-10-06 15:08:00,1
2019-10-08 14:35:00,1
2019-10-11 21:03:00,1
2019-10-11 21:29:00,1
2019-10-12 00:10:00,1
2019-10-12 15:01:00,1
2019-10-13 15:02:00,1
2019-10-15 14:35:00,1
2019-10-15 15:36:00,1
2019-10-15 15:41:00,1
2019-10-16 14:31:00,1
2019-10-17 14:45:00,1
2019-10-30 03:05:00,1
2019-10-30 05:04:00,1
2019-10-30 09:10:00,1
2019-10-30 12:12:00,1
2019-10-31 14:22:00,1
2019-11-04 15:03:00,1
2019-11-06 15:15:00,1
2019-11-07 15:53:00,1
2019-11-10 15:34:00,1
2019-11-12 16:18:00,1
2019-11-14 15:29:00,1
2019-11-15 16:42:00,1
2019-11-18 15:13:00,1
2019-11-19 15:59:00,1
2019-11-19 16:32:00,1
2019-11-24 15:51:00,1
2019-11-24 16:02:00,1
2019-11-24 17:05:00,1
2019-11-24 17:10:00,1
2019-11-25 16:25:00,1
2019-11-25 17:44:00,1
2019-11-25 18:16:00,1
2019-11-26 15:59:00,1
2019-12-02 16:14:00,1
2019-12-03 16:09:00,1
2019-12-03 16:41:00,1
2019-12-06 14:57:00,1
2019-12-10 15:02:00,1
2019-12-10 15:17:00,1
2019-12-12 15:28:00,1
2019-12-12 15:30:00,1
2019-12-12 15:31:00,1
2019-12-12 15:33:00,1
2019-12-12 15:40:00,1
2019-12-12 15:56:00,1
2019-12-12 16:00:00,1
2019-12-19 09:42:00,1
2019-12-22 15:46:00,1
2019-12-22 15:54:00,1
