178,select objid from photoprimary where photoprimary.dec between # and .# and photoprimary.ra between # and #
2019-02-26 21:24:00,1
2019-02-26 21:44:00,1
2019-02-27 00:28:00,1
2019-02-27 00:48:00,1
2019-03-04 06:00:00,4
2019-03-04 06:13:00,1
2019-03-04 06:17:00,1
2019-03-04 06:24:00,1
2019-03-04 06:28:00,1
2019-03-04 06:33:00,2
2019-03-04 06:41:00,1
2019-03-04 06:42:00,3
2019-03-04 15:35:00,2
2019-03-04 15:40:00,2
2019-03-04 15:44:00,1
2019-03-04 15:48:00,1
2019-03-04 15:57:00,1
2019-03-04 16:03:00,1
2019-03-04 16:07:00,1
2019-03-04 16:12:00,3
2019-03-04 16:15:00,1
2019-03-04 16:17:00,2
2019-03-04 16:19:00,1
2019-03-04 16:22:00,1
2019-03-04 17:36:00,1
2019-03-04 17:37:00,1
2019-03-04 17:38:00,2
2019-03-04 17:41:00,1
2019-03-04 17:45:00,2
2019-03-07 04:52:00,1
2019-03-07 04:54:00,1
2019-03-07 11:12:00,1
2019-03-07 18:45:00,2
2019-03-07 18:50:00,1
2019-03-07 18:55:00,1
2019-03-07 23:10:00,1
2019-03-08 06:30:00,1
2019-03-08 06:32:00,2
2019-03-08 06:34:00,1
2019-03-08 06:35:00,1
2019-03-08 06:54:00,2
2019-03-08 06:57:00,1
2019-03-08 06:59:00,1
2019-03-14 05:31:00,10
2019-03-14 06:47:00,4
2019-03-14 06:48:00,34
2019-03-14 06:49:00,21
2019-03-14 06:50:00,36
2019-03-14 08:45:00,1
2019-03-14 09:12:00,1
2019-03-14 09:22:00,1
2019-03-14 09:23:00,1
2019-03-14 09:24:00,2
2019-03-14 09:25:00,3
2019-03-14 09:57:00,5
