35,"SELECT G.ra as ra, G.dec as dec, G.cModelMag_r as mag, G.cModelMagErr_r as magerr, GN.distance as distance, # as priority, G.objID, G.flags FROM Galaxy AS G JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON G.objID = GN.objID WHERE G.clean = # AND G.cModelMag_r < # ORDER BY GN.distance"
2019-09-06 18:55:00,2
2019-09-07 21:08:00,1
2019-09-09 18:57:00,1
2019-09-09 19:41:00,1
2019-09-09 19:42:00,1
2019-09-09 19:48:00,1
2019-09-09 19:49:00,1
2019-09-09 19:50:00,1
2019-09-09 19:51:00,1
2019-09-09 19:54:00,1
2019-09-09 20:01:00,1
2019-09-09 20:09:00,1
2019-09-09 20:10:00,1
2019-09-09 20:12:00,1
2019-09-09 20:14:00,1
2019-09-09 20:15:00,1
2019-09-09 23:37:00,2
2019-09-09 23:41:00,1
2019-09-09 23:45:00,1
2019-09-09 23:46:00,1
2019-09-09 23:49:00,1
2019-09-09 23:50:00,1
2019-09-09 23:59:00,1
2019-09-10 00:00:00,1
2019-09-10 00:01:00,2
2019-09-10 00:05:00,1
2019-09-10 00:09:00,2
2019-09-10 00:11:00,1
2019-09-10 00:13:00,1
2019-09-10 00:24:00,1
2019-09-10 00:27:00,1
