3,"SELECT x.objid, x.ra, x.dec, x.ext, t.* FROM PhotoPrimary x, lrgs_# t WHERE XMATCH (x, t) < # AND x.ext > #"
2019-02-19 15:31:00,1
2019-02-19 15:32:00,2
