2,"SELECT u.up_name as [name], s.specobjid, s.ra, s.dec, s.plate, s.mjd, s.fiberid, s.velDisp, s.velDispErr FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN SpecObjAll s ON s.specObjID = x.specObjID"
2019-04-05 03:33:00,1
2019-04-05 03:35:00,1
