17,"SELECT distinct s.z, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z, s.sn1_g, s.sn1_r, s.sn1_i, s.sn2_g, s.sn2_r, s.sn2_i FROM SpecObjAll AS s JOIN sppParams AS spp ON spp.SpecObjID = s.SpecObjID JOIN PhotoObj AS p ON p.SpecObjID = s.SpecObjID WHERE s.z > # and s.SourceType = # and s.subclass = # and p.u > # and p.g > # and p.r > # and p.i > # and p.z > # and p.ra between # and #"
2019-01-23 11:29:00,1
2019-01-24 06:00:00,1
2019-01-24 10:33:00,2
2019-01-24 10:34:00,1
2019-01-24 10:35:00,1
2019-01-24 10:36:00,1
2019-01-24 10:37:00,1
2019-01-24 10:38:00,2
2019-01-24 10:39:00,1
2019-01-24 10:40:00,1
2019-01-24 10:43:00,3
2019-01-24 10:44:00,2
