4,"SELECT TOP # * FROM galaxy AS p, dbo.fgetNearByObjEq (#, #, #) AS n, galSpecInfo AS s WHERE p.objid = n.objid AND p.specObjID = s.specObjID AND p.specObjID< ># AND p.modelMagErr_r BETWEEN # AND # AND s.z BETWEEN # AND # ORDER BY s.z"
2019-11-06 13:48:00,1
2019-11-06 18:46:00,1
2019-11-06 18:47:00,2
