20,"select top # p.objid, p.ra, p.dec from galaxy p, specobj s where p.objid = s.bestobjid and s.z BETWEEN # AND #"
2019-02-04 04:10:00,1
2019-04-02 20:53:00,1
2019-04-02 20:54:00,1
2019-09-16 04:16:00,2
2019-09-16 04:17:00,2
2019-09-24 22:10:00,1
2019-10-11 19:29:00,1
2019-10-11 21:22:00,2
2019-10-12 00:37:00,2
2019-11-08 23:50:00,1
2019-11-08 23:52:00,1
2019-11-08 23:57:00,1
2019-11-14 23:16:00,1
2019-11-14 23:23:00,1
2019-11-14 23:25:00,1
2019-11-14 23:26:00,1
