17,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # AND class = #"
2019-01-16 09:01:00,1
2019-01-18 01:30:00,1
2019-01-18 14:47:00,1
2019-04-24 13:27:00,1
2019-07-10 15:36:00,2
2019-07-10 16:26:00,1
2019-08-10 12:04:00,1
2019-08-10 12:06:00,1
2019-10-07 08:42:00,1
2019-10-07 08:44:00,1
2019-11-20 11:43:00,2
2019-11-20 11:45:00,1
2019-12-25 03:21:00,1
2019-12-25 03:23:00,1
2019-12-25 03:26:00,1
