2,"select psfMag_u, psfMag_g, psfMag_u-psfMag_g as color, ra, dec, type from galaxy where psfMag_u-psfMag_g between # and # order by color desc"
2019-09-03 09:16:00,1
2019-09-03 09:17:00,1
