14,"select ra, dec, z from specObj where ra BETWEEN # and # AND dec BETWEEN # and # AND z BETWEEN # and #"
2019-02-04 10:30:00,2
2019-02-04 10:31:00,1
2019-02-04 10:32:00,5
2019-02-04 11:01:00,2
2019-05-23 00:10:00,1
2019-11-14 12:53:00,1
2019-12-04 21:12:00,2
