109,"SELECT TOP # # + cast (p.apstar_id as varchar (#) ) + # + cast (p.apstar_id as varchar (#) ) + # as apstar_id, p.apogee_id, p.ra, p.dec, p.glon, p.glat, p.vhelio_avg, p.vscatter, a.teff, a.logg, a.m_h FROM apogeeStar p JOIN fGetNearbyApogeeStarEq (#, #, #) n on p.apstar_id = n.apstar_id JOIN aspcapStar a on a.apstar_id = p.apstar_id JOIN apogeeObject as o ON a.apogee_id = o.apogee_id"
2019-01-16 09:08:00,1
2019-01-25 14:20:00,1
2019-01-27 01:42:00,1
2019-02-04 11:28:00,2
2019-02-04 11:51:00,1
2019-02-04 16:15:00,1
2019-02-06 21:03:00,2
2019-02-06 21:04:00,3
2019-02-06 21:06:00,2
2019-02-11 06:22:00,1
2019-02-13 07:19:00,1
2019-02-13 07:29:00,1
2019-02-13 07:34:00,1
2019-02-16 12:19:00,1
2019-02-25 16:25:00,1
2019-02-25 16:26:00,1
2019-03-12 09:52:00,1
2019-03-12 09:54:00,1
2019-03-12 15:54:00,1
2019-03-14 22:58:00,1
2019-03-29 16:27:00,1
2019-03-29 16:31:00,1
2019-03-29 16:33:00,1
2019-03-29 16:36:00,1
2019-04-01 18:22:00,1
2019-04-05 22:18:00,1
2019-04-09 21:35:00,1
2019-04-09 21:36:00,1
2019-04-11 21:31:00,2
2019-04-27 14:04:00,2
2019-04-29 19:14:00,1
2019-05-04 23:31:00,1
2019-05-09 08:53:00,1
2019-05-15 20:00:00,1
2019-05-17 04:13:00,1
2019-05-17 04:20:00,1
2019-05-20 11:48:00,1
2019-05-20 11:49:00,1
2019-05-30 14:01:00,1
2019-05-30 14:29:00,1
2019-05-30 15:56:00,1
2019-05-31 11:53:00,2
2019-05-31 19:22:00,1
2019-06-09 15:02:00,1
2019-06-12 09:47:00,1
2019-06-25 08:51:00,1
2019-07-09 11:54:00,2
2019-07-09 11:55:00,1
2019-07-16 06:38:00,2
2019-07-17 13:29:00,1
2019-07-19 10:06:00,1
2019-08-22 20:10:00,1
2019-08-28 15:14:00,1
2019-09-11 05:28:00,1
2019-09-17 02:15:00,1
2019-09-17 02:37:00,1
2019-09-19 17:31:00,2
2019-09-24 13:29:00,1
2019-10-14 14:06:00,1
2019-10-14 21:47:00,1
2019-10-16 05:39:00,1
2019-10-25 07:56:00,1
2019-10-25 07:57:00,1
2019-10-29 16:35:00,1
2019-10-31 16:43:00,1
2019-10-31 16:44:00,2
2019-11-07 05:40:00,1
2019-11-07 16:41:00,1
2019-11-11 18:50:00,1
2019-11-13 00:51:00,1
2019-11-18 18:12:00,1
2019-11-18 18:17:00,1
2019-11-18 18:18:00,1
2019-11-18 18:20:00,1
2019-11-20 15:08:00,1
2019-11-21 10:30:00,1
2019-11-21 14:01:00,1
2019-11-21 14:03:00,1
2019-11-21 14:09:00,1
2019-11-21 17:10:00,2
2019-11-25 22:42:00,1
2019-12-04 16:45:00,1
2019-12-10 06:06:00,1
2019-12-10 06:52:00,1
2019-12-10 06:53:00,1
2019-12-10 16:49:00,1
2019-12-13 08:19:00,1
2019-12-14 17:54:00,1
2019-12-14 23:33:00,2
2019-12-19 08:36:00,2
2019-12-19 13:11:00,1
2019-12-27 18:28:00,2
2019-12-27 22:41:00,1
