8,"SELECT TOP # p.objid, p.ra , p.dec , p.deVRad_u, p.deVRadErr_u, p.deVRad_z, p.deVRadErr_z, g.lgm_tot_p5#, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN galSpecExtra AS g on g.specobjid = s.specobjid WHERE s.class = # AND s.z BETWEEN # AND # AND g.lgm_tot_p5# > #"
2019-09-17 08:18:00,1
2019-09-17 10:15:00,5
2019-09-17 12:48:00,2
