1102,select * from zooMirrorBias where objid = #
2019-01-01 03:11:00,1
2019-01-01 06:37:00,1
2019-01-01 12:50:00,1
2019-01-01 15:45:00,1
2019-01-01 19:51:00,1
2019-01-01 20:04:00,1
2019-01-01 20:21:00,1
2019-01-02 02:28:00,1
2019-01-02 04:34:00,1
2019-01-02 04:53:00,2
2019-01-02 06:54:00,1
2019-01-02 08:51:00,1
2019-01-02 10:57:00,1
2019-01-02 11:46:00,1
2019-01-02 20:45:00,1
2019-01-02 20:52:00,1
2019-01-02 22:49:00,1
2019-01-02 23:14:00,1
2019-01-02 23:31:00,1
2019-01-03 00:40:00,1
2019-01-03 01:34:00,1
2019-01-03 03:04:00,1
2019-01-03 03:39:00,1
2019-01-03 03:44:00,1
2019-01-03 03:48:00,1
2019-01-03 04:50:00,1
2019-01-03 05:26:00,1
2019-01-03 07:56:00,1
2019-01-03 08:29:00,1
2019-01-03 09:47:00,1
2019-01-03 11:37:00,1
2019-01-03 12:46:00,1
2019-01-03 14:42:00,1
2019-01-03 15:14:00,1
2019-01-03 15:28:00,1
2019-01-03 15:37:00,1
2019-01-03 20:07:00,1
2019-01-04 00:38:00,1
2019-01-04 00:48:00,1
2019-01-04 01:03:00,1
2019-01-04 01:51:00,1
2019-01-04 02:17:00,1
2019-01-04 03:51:00,1
2019-01-04 04:07:00,1
2019-01-04 04:38:00,1
2019-01-04 05:13:00,1
2019-01-04 05:30:00,2
2019-01-04 08:39:00,1
2019-01-04 09:43:00,1
2019-01-04 10:32:00,1
2019-01-04 10:40:00,1
2019-01-04 10:43:00,1
2019-01-04 12:48:00,1
2019-01-04 13:13:00,1
2019-01-04 14:23:00,1
2019-01-04 14:38:00,1
2019-01-04 14:39:00,1
2019-01-04 14:54:00,1
2019-01-04 16:46:00,1
2019-01-04 17:31:00,1
2019-01-04 19:17:00,2
2019-01-05 13:39:00,1
2019-01-05 15:28:00,1
2019-01-05 22:03:00,1
2019-01-05 22:22:00,1
2019-01-06 04:40:00,1
2019-01-06 05:16:00,1
2019-01-06 07:30:00,1
2019-01-07 08:47:00,1
2019-01-07 17:21:00,1
2019-01-08 08:53:00,1
2019-01-08 18:14:00,1
2019-01-08 19:04:00,1
2019-01-09 13:07:00,1
2019-01-10 19:17:00,1
2019-01-11 06:50:00,1
2019-01-11 11:25:00,1
2019-01-12 06:38:00,1
2019-01-12 08:21:00,1
2019-01-19 15:31:00,1
2019-01-19 15:55:00,1
2019-01-20 04:09:00,1
2019-01-20 11:14:00,1
2019-01-20 12:43:00,1
2019-01-21 05:04:00,1
2019-01-22 00:02:00,1
2019-01-22 07:25:00,1
2019-01-23 03:55:00,1
2019-01-23 07:19:00,1
2019-01-23 12:11:00,1
2019-01-23 23:44:00,1
2019-01-24 00:29:00,1
2019-01-24 00:59:00,1
2019-01-24 02:32:00,1
2019-01-24 04:09:00,1
2019-01-24 10:17:00,1
2019-01-24 21:53:00,1
2019-01-26 15:28:00,1
2019-01-27 04:02:00,6
2019-01-27 04:03:00,2
2019-01-27 10:28:00,1
2019-01-27 11:38:00,1
2019-01-27 12:05:00,1
2019-01-27 12:50:00,1
2019-01-27 23:20:00,1
2019-01-28 02:18:00,1
2019-01-28 04:35:00,1
2019-01-28 04:40:00,4
2019-01-28 12:43:00,1
2019-01-28 16:42:00,1
2019-01-28 17:30:00,1
2019-01-28 23:03:00,3
2019-01-29 02:26:00,1
2019-01-29 04:59:00,1
2019-01-29 11:01:00,1
2019-01-29 11:02:00,5
2019-01-29 11:07:00,1
2019-01-29 14:43:00,2
2019-01-29 16:32:00,5
2019-01-29 17:15:00,1
2019-01-29 20:40:00,1
2019-01-29 23:52:00,1
2019-01-30 04:01:00,4
2019-01-30 04:36:00,3
2019-01-30 04:50:00,1
2019-01-30 06:05:00,1
2019-01-30 06:21:00,1
2019-01-30 07:22:00,1
2019-01-30 08:06:00,1
2019-01-30 09:32:00,1
2019-01-30 10:38:00,1
2019-01-30 14:27:00,1
2019-01-30 15:24:00,1
2019-01-30 21:08:00,1
2019-01-31 04:31:00,1
2019-01-31 06:03:00,1
2019-01-31 16:00:00,1
2019-01-31 20:14:00,1
2019-02-01 03:55:00,1
2019-02-01 07:41:00,18
2019-02-01 07:42:00,1
2019-02-01 08:30:00,1
2019-02-01 14:04:00,1
2019-02-01 18:27:00,31
2019-02-01 19:05:00,1
2019-02-02 00:32:00,1
2019-02-02 03:53:00,3
2019-02-02 03:54:00,2
2019-02-02 06:07:00,1
2019-02-02 06:11:00,1
2019-02-02 08:17:00,1
2019-02-03 04:26:00,1
2019-02-03 04:27:00,2
2019-02-03 18:58:00,1
2019-02-03 22:28:00,2
2019-02-04 08:04:00,1
2019-02-04 11:30:00,1
2019-02-04 11:32:00,3
2019-02-05 01:09:00,1
2019-02-10 16:15:00,1
2019-02-11 21:56:00,2
2019-02-13 17:12:00,1
2019-02-14 05:00:00,1
2019-02-14 05:32:00,3
2019-02-15 05:13:00,1
2019-02-19 03:35:00,1
2019-02-20 20:22:00,16
2019-02-24 21:16:00,2
2019-03-01 18:49:00,1
2019-03-12 04:25:00,1
2019-03-13 23:25:00,2
2019-03-18 01:11:00,1
2019-03-25 05:17:00,1
2019-03-27 02:21:00,1
2019-04-02 13:25:00,1
2019-04-02 13:26:00,1
2019-04-04 18:21:00,1
2019-04-17 04:11:00,2
2019-04-17 05:38:00,1
2019-04-17 07:23:00,2
2019-04-17 07:24:00,3
2019-04-18 10:08:00,4
2019-04-19 15:39:00,6
2019-04-19 15:40:00,3
2019-04-19 17:23:00,1
2019-04-19 17:24:00,1
2019-04-20 01:43:00,2
2019-04-20 01:44:00,2
2019-04-20 12:27:00,1
2019-04-20 12:28:00,4
2019-04-21 01:10:00,1
2019-04-22 11:26:00,3
2019-04-22 11:27:00,7
2019-04-22 11:28:00,5
2019-04-22 11:29:00,7
2019-04-22 11:30:00,5
2019-04-22 13:17:00,23
2019-04-23 12:37:00,2
2019-04-23 13:50:00,3
2019-04-23 21:50:00,1
2019-04-24 06:56:00,3
2019-04-25 00:42:00,1
2019-04-26 12:03:00,3
2019-04-26 19:28:00,2
2019-04-29 16:11:00,1
2019-05-03 15:09:00,2
2019-05-04 05:50:00,1
2019-05-05 04:41:00,5
2019-05-10 00:59:00,1
2019-05-10 06:23:00,1
2019-05-14 21:36:00,16
2019-05-15 20:20:00,1
2019-05-15 22:54:00,2
2019-05-15 23:23:00,1
2019-05-19 01:40:00,1
2019-05-22 20:23:00,1
2019-05-25 12:29:00,1
2019-05-31 02:14:00,1
2019-06-02 12:08:00,1
2019-06-03 14:03:00,1
2019-06-03 17:33:00,2
2019-06-05 14:07:00,1
2019-06-05 16:35:00,1
2019-06-05 19:00:00,1
2019-06-05 23:04:00,1
2019-06-06 08:56:00,1
2019-06-06 16:56:00,1
2019-06-07 03:04:00,1
2019-06-07 15:48:00,1
2019-06-07 16:25:00,1
2019-06-08 04:12:00,1
2019-06-08 05:46:00,1
2019-06-08 06:15:00,1
2019-06-08 09:34:00,1
2019-06-08 13:46:00,1
2019-06-08 17:48:00,1
2019-06-09 00:43:00,1
2019-06-09 03:42:00,1
2019-06-09 06:01:00,1
2019-06-09 16:51:00,1
2019-06-09 17:28:00,1
2019-06-10 06:45:00,1
2019-06-10 07:09:00,1
2019-06-10 09:53:00,1
2019-06-10 17:53:00,1
2019-06-10 18:28:00,1
2019-06-11 04:00:00,1
2019-06-11 04:12:00,1
2019-06-11 06:14:00,1
2019-06-11 11:27:00,1
2019-06-11 12:32:00,1
2019-06-11 14:14:00,1
2019-06-11 16:26:00,1
2019-06-11 17:08:00,1
2019-06-11 19:19:00,1
2019-06-12 18:35:00,1
2019-06-13 04:31:00,1
2019-06-13 14:59:00,1
2019-06-13 17:44:00,1
2019-06-13 19:30:00,1
2019-06-13 19:55:00,1
2019-06-13 20:37:00,1
2019-06-13 21:18:00,1
2019-06-13 22:48:00,1
2019-06-14 00:39:00,1
2019-06-14 09:23:00,1
2019-06-15 04:12:00,1
2019-06-15 07:33:00,1
2019-06-16 00:00:00,1
2019-06-16 12:15:00,1
2019-06-16 22:05:00,1
2019-06-16 22:34:00,1
2019-06-17 01:14:00,1
2019-06-17 06:32:00,1
2019-06-17 09:32:00,1
2019-06-17 10:01:00,1
2019-06-17 10:33:00,1
2019-06-17 10:35:00,1
2019-06-17 13:00:00,1
2019-06-18 18:29:00,1
2019-06-19 01:27:00,1
2019-06-19 04:51:00,1
2019-06-20 13:22:00,1
2019-06-20 13:24:00,1
2019-06-20 13:31:00,1
2019-06-20 13:33:00,1
2019-06-20 13:34:00,1
2019-06-20 13:41:00,1
2019-06-20 13:55:00,1
2019-06-20 14:39:00,1
2019-06-20 20:08:00,1
2019-06-21 03:49:00,1
2019-06-21 08:44:00,1
2019-06-21 10:26:00,1
2019-06-23 02:40:00,1
2019-06-24 21:42:00,1
2019-06-27 09:33:00,1
2019-06-27 09:50:00,1
2019-06-27 10:14:00,1
2019-06-28 17:19:00,1
2019-06-29 09:55:00,1
2019-06-30 02:15:00,1
2019-06-30 09:32:00,1
2019-06-30 10:13:00,1
2019-06-30 18:38:00,1
2019-07-01 09:50:00,1
2019-07-02 12:57:00,1
2019-07-02 17:14:00,1
2019-07-04 13:54:00,1
2019-07-04 15:22:00,1
2019-07-05 00:44:00,1
2019-07-05 00:45:00,1
2019-07-05 00:46:00,1
2019-07-05 00:48:00,1
2019-07-05 00:51:00,1
2019-07-05 00:53:00,1
2019-07-05 00:54:00,1
2019-07-05 00:59:00,1
2019-07-05 01:08:00,1
2019-07-05 01:12:00,1
2019-07-05 01:35:00,1
2019-07-05 02:34:00,1
2019-07-05 02:51:00,1
2019-07-05 03:40:00,1
2019-07-05 04:06:00,1
2019-07-05 05:58:00,1
2019-07-05 10:54:00,1
2019-07-05 11:05:00,1
2019-07-05 19:43:00,1
2019-07-06 06:21:00,1
2019-07-06 09:02:00,2
2019-07-06 10:38:00,1
2019-07-06 10:41:00,1
