56,"SELECT TOP # objid, ra, dec, u, g, r, i, z FROM star WHERE r BETWEEN # AND #"
2019-01-27 09:19:00,1
2019-01-27 10:18:00,1
2019-02-16 00:06:00,2
2019-02-16 00:07:00,1
2019-02-16 00:10:00,2
2019-02-25 17:45:00,1
2019-02-25 17:46:00,2
2019-02-25 17:47:00,1
2019-02-25 17:48:00,2
2019-02-25 17:53:00,1
2019-02-26 11:15:00,1
2019-02-26 11:16:00,1
2019-02-26 11:17:00,2
2019-02-26 18:01:00,1
2019-02-26 18:02:00,1
2019-02-27 13:05:00,1
2019-02-27 21:17:00,1
2019-02-27 21:41:00,1
2019-02-27 21:44:00,1
2019-03-01 13:18:00,1
2019-03-01 13:25:00,1
2019-03-02 13:09:00,1
2019-03-02 14:58:00,2
2019-03-03 13:31:00,2
2019-03-03 13:53:00,3
2019-03-03 15:23:00,2
2019-03-03 16:39:00,1
2019-03-03 17:32:00,3
2019-03-06 16:32:00,2
2019-03-07 16:27:00,1
2019-03-07 16:33:00,1
2019-03-07 17:13:00,1
2019-03-09 18:42:00,1
2019-03-09 18:44:00,2
2019-03-10 12:43:00,2
2019-03-10 13:38:00,1
2019-03-10 13:39:00,1
2019-03-14 18:56:00,1
2019-03-14 19:28:00,1
2019-03-20 18:43:00,1
2019-03-20 18:44:00,1
