29,"SELECT TOP # bestobjid , survey , z from SpecObj where class = # and survey = # and zWarning = # and z > =# and z < #"
2019-03-27 09:12:00,1
2019-03-27 18:50:00,1
2019-03-27 18:52:00,1
2019-03-30 12:34:00,1
2019-03-30 12:53:00,1
2019-03-30 13:11:00,1
2019-03-30 13:13:00,1
2019-03-30 13:15:00,1
2019-03-30 13:16:00,1
2019-03-30 13:17:00,1
2019-03-30 13:18:00,1
2019-03-30 13:19:00,1
2019-03-30 13:20:00,1
2019-03-30 13:21:00,2
2019-03-30 13:22:00,1
2019-03-30 13:23:00,1
2019-03-30 13:24:00,2
2019-03-30 13:25:00,2
2019-03-30 13:26:00,1
2019-03-30 13:28:00,3
2019-03-30 13:29:00,2
2019-03-30 13:30:00,1
2019-03-30 13:31:00,1
