331,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE (p.run = # AND p.camcol = # AND p.field = # AND p.rerun = #)"
2019-08-02 01:25:00,1
2019-08-02 01:26:00,1
2019-08-02 04:09:00,1
2019-08-02 04:11:00,1
2019-08-08 16:37:00,1
2019-08-08 16:38:00,1
2019-08-13 03:28:00,2
2019-08-14 16:51:00,1
2019-08-14 19:30:00,1
2019-08-15 02:13:00,1
2019-08-15 02:14:00,1
2019-08-19 21:57:00,2
2019-08-22 16:11:00,2
2019-08-26 22:36:00,1
2019-08-26 22:44:00,1
2019-08-29 16:04:00,1
2019-08-29 16:06:00,1
2019-08-30 10:02:00,1
2019-08-30 10:07:00,1
2019-09-05 16:10:00,1
2019-09-05 16:12:00,1
2019-09-09 06:39:00,1
2019-09-10 00:58:00,1
2019-09-10 01:03:00,1
2019-09-12 16:07:00,1
2019-09-12 16:12:00,1
2019-09-18 18:42:00,1
2019-09-18 18:46:00,1
2019-09-19 03:37:00,1
2019-09-19 04:59:00,1
2019-09-19 05:04:00,1
2019-09-19 20:49:00,2
2019-09-19 21:59:00,1
2019-09-20 01:22:00,1
2019-09-20 01:27:00,1
2019-09-20 18:45:00,1
2019-09-20 18:48:00,1
2019-09-20 23:24:00,1
2019-09-23 13:43:00,1
2019-09-25 14:51:00,1
2019-09-26 16:17:00,1
2019-09-26 16:20:00,1
2019-10-03 16:17:00,1
2019-10-08 03:37:00,1
2019-10-08 05:54:00,1
2019-10-08 06:01:00,1
2019-10-08 06:03:00,1
2019-10-08 06:06:00,1
2019-10-08 06:09:00,2
2019-10-08 06:11:00,1
2019-10-08 06:13:00,1
2019-10-08 06:19:00,1
2019-10-08 07:36:00,1
2019-10-08 16:33:00,1
2019-10-08 21:16:00,1
2019-10-10 01:12:00,1
2019-10-10 05:17:00,1
2019-10-17 16:29:00,1
2019-10-24 16:43:00,1
2019-10-31 15:12:00,1
2019-11-03 23:17:00,1
2019-12-09 18:05:00,1
2019-12-09 19:03:00,1
2019-12-10 02:10:00,1
2019-12-10 04:23:00,1
2019-12-12 16:22:00,1
2019-12-12 20:00:00,1
2019-12-12 22:42:00,1
2019-12-13 17:03:00,1
2019-12-13 17:16:00,1
2019-12-24 23:03:00,1
2019-12-25 00:15:00,1
2019-12-25 00:48:00,1
2019-12-26 16:18:00,1
2019-12-26 23:28:00,1
2019-12-27 05:00:00,1
