790,"select p.ra, p.dec, p.g, p.Err_g from STAR as p inner join dbo.fGetNearbyObjEq (#, #, #) as N on p.objid = N.objid where ( (p.flags & #) ! = #) AND ( (p.flags & #) = #) AND ( ((p.flags & #) = #) AND (p.psfmagerr_g < = #) ) AND ( ((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-25 08:55:00,1
2019-03-25 09:21:00,1
2019-03-25 09:58:00,1
2019-03-25 10:57:00,1
2019-03-25 11:21:00,1
2019-03-25 12:15:00,1
2019-03-25 16:06:00,1
2019-03-25 16:07:00,1
2019-03-25 16:22:00,1
2019-03-25 16:35:00,1
2019-03-25 16:45:00,1
2019-03-26 05:43:00,1
2019-03-26 06:58:00,1
2019-03-26 14:00:00,1
2019-03-26 14:32:00,1
2019-03-26 15:27:00,1
2019-03-26 15:35:00,1
2019-03-26 16:00:00,1
2019-03-26 16:26:00,1
2019-03-26 16:51:00,1
2019-03-27 04:36:00,1
2019-03-27 08:03:00,1
2019-03-27 08:58:00,1
2019-03-27 09:18:00,1
2019-03-27 13:46:00,1
2019-03-27 14:12:00,1
2019-03-27 14:39:00,1
2019-03-27 16:03:00,1
2019-03-28 04:29:00,1
2019-03-28 04:42:00,1
2019-03-28 07:42:00,1
2019-03-28 14:33:00,1
2019-03-28 15:21:00,1
2019-03-28 17:08:00,1
2019-03-29 07:33:00,1
2019-03-29 08:02:00,1
2019-03-29 08:25:00,1
2019-03-29 08:56:00,1
2019-03-29 10:00:00,1
2019-03-29 10:53:00,1
2019-03-29 11:49:00,1
2019-03-29 12:39:00,1
2019-03-29 13:15:00,1
2019-03-29 13:29:00,1
2019-03-29 13:36:00,1
2019-03-29 14:15:00,1
2019-03-29 14:33:00,1
2019-03-31 05:39:00,1
2019-03-31 15:25:00,1
2019-03-31 15:27:00,1
2019-04-01 11:51:00,1
2019-04-02 04:03:00,1
2019-04-02 04:36:00,1
2019-04-02 10:16:00,2
2019-04-02 14:23:00,1
2019-04-03 21:21:00,1
2019-04-04 04:19:00,1
2019-04-04 04:48:00,1
2019-04-05 04:18:00,1
2019-04-06 04:46:00,1
2019-04-06 05:38:00,1
2019-04-07 03:22:00,1
2019-04-07 03:38:00,1
2019-04-07 07:51:00,1
2019-04-08 04:15:00,1
2019-04-08 04:55:00,1
2019-04-08 06:07:00,1
2019-04-08 14:39:00,1
2019-04-08 14:51:00,1
2019-04-09 08:27:00,1
2019-04-09 10:03:00,1
2019-04-09 11:09:00,1
2019-04-09 11:23:00,1
2019-04-09 11:30:00,1
2019-04-09 12:07:00,1
2019-04-09 12:24:00,1
2019-04-09 13:46:00,2
2019-04-09 14:50:00,1
2019-04-11 17:46:00,1
2019-04-13 18:13:00,1
2019-04-14 18:27:00,1
2019-04-24 17:14:00,1
2019-04-30 20:19:00,2
2019-04-30 20:20:00,1
2019-04-30 20:21:00,1
2019-04-30 20:22:00,1
2019-05-01 19:47:00,1
2019-05-01 19:59:00,1
2019-05-05 17:34:00,2
2019-05-05 17:40:00,3
2019-05-07 13:30:00,1
2019-05-09 13:28:00,1
2019-05-09 13:43:00,1
2019-05-12 14:46:00,2
2019-05-14 03:25:00,1
2019-05-14 16:00:00,1
2019-05-15 13:07:00,1
2019-05-15 13:41:00,1
2019-05-15 13:43:00,1
2019-05-15 13:44:00,1
2019-05-15 15:24:00,1
2019-05-16 02:45:00,1
2019-05-16 03:11:00,1
2019-05-20 02:44:00,1
2019-05-20 16:14:00,1
2019-05-21 10:41:00,1
2019-05-22 02:54:00,1
2019-05-22 11:15:00,1
2019-05-23 00:08:00,1
2019-05-23 02:53:00,1
2019-05-23 03:16:00,1
2019-05-23 16:06:00,1
2019-05-24 02:43:00,1
2019-05-24 03:12:00,1
2019-05-24 03:44:00,1
2019-05-24 20:13:00,1
2019-05-24 20:14:00,1
2019-05-27 12:04:00,1
2019-05-27 12:05:00,4
2019-05-27 12:06:00,1
2019-05-27 12:08:00,1
2019-05-28 10:09:00,1
2019-05-28 10:46:00,2
2019-05-28 11:40:00,3
2019-05-28 11:42:00,3
2019-05-28 11:43:00,1
2019-05-28 16:16:00,1
2019-05-28 16:32:00,1
2019-05-28 17:59:00,1
2019-05-28 18:12:00,1
2019-05-28 18:25:00,1
2019-05-28 18:32:00,1
2019-05-28 18:45:00,1
2019-05-28 18:57:00,1
2019-05-28 19:59:00,1
2019-05-29 09:30:00,1
2019-05-29 09:44:00,1
2019-05-29 11:11:00,1
2019-05-29 11:24:00,1
2019-05-29 11:37:00,1
2019-05-29 12:04:00,1
2019-05-29 12:18:00,1
2019-05-29 12:31:00,1
2019-05-29 12:49:00,1
2019-05-29 13:02:00,1
2019-05-29 13:15:00,1
2019-05-29 13:46:00,1
2019-05-29 13:59:00,1
2019-05-29 14:12:00,1
2019-05-29 15:57:00,1
2019-05-29 16:03:00,1
2019-05-29 16:17:00,1
2019-05-29 16:43:00,1
2019-05-30 12:38:00,1
2019-06-02 10:31:00,1
2019-06-04 01:18:00,1
2019-06-04 02:09:00,1
2019-06-06 00:48:00,1
2019-06-06 15:43:00,1
2019-06-06 16:19:00,2
2019-06-07 02:14:00,1
2019-06-07 02:41:00,1
2019-06-07 03:26:00,1
2019-06-07 14:40:00,1
2019-06-07 14:42:00,2
2019-06-07 15:16:00,1
2019-06-09 19:51:00,1
2019-06-09 19:53:00,1
2019-06-10 09:05:00,1
2019-06-15 00:08:00,1
2019-06-15 19:52:00,1
2019-06-16 01:45:00,1
2019-06-16 02:27:00,1
2019-06-16 10:24:00,1
2019-06-17 08:21:00,1
2019-06-17 08:33:00,1
2019-06-17 08:52:00,1
2019-06-17 09:04:00,1
2019-06-17 09:24:00,1
2019-06-17 10:10:00,1
2019-06-17 11:46:00,1
2019-06-17 12:05:00,1
2019-06-17 12:56:00,1
2019-06-17 13:21:00,1
2019-06-17 14:01:00,1
2019-06-17 16:03:00,1
2019-06-18 12:03:00,1
2019-06-18 12:47:00,1
2019-06-18 13:17:00,1
2019-06-18 13:59:00,1
2019-06-18 14:34:00,1
2019-06-18 15:10:00,1
2019-06-18 16:19:00,1
2019-06-18 16:24:00,1
2019-06-20 17:39:00,1
2019-06-20 17:55:00,1
2019-06-21 00:49:00,1
2019-06-24 13:49:00,1
2019-06-24 15:00:00,1
2019-06-26 01:52:00,1
2019-06-26 15:39:00,1
2019-06-26 15:56:00,1
2019-06-26 16:15:00,1
2019-06-30 10:39:00,1
2019-07-01 01:35:00,1
2019-07-01 01:51:00,1
2019-07-05 00:05:00,1
2019-07-12 20:14:00,1
2019-07-12 20:19:00,1
2019-07-12 21:20:00,1
2019-07-12 21:36:00,1
2019-07-13 10:29:00,1
2019-07-19 08:31:00,1
2019-07-25 02:24:00,1
2019-07-25 03:34:00,1
2019-07-25 05:35:00,1
2019-07-25 07:11:00,1
2019-07-25 07:12:00,4
2019-07-25 07:33:00,1
2019-07-25 07:34:00,4
2019-07-25 07:54:00,3
2019-07-25 07:55:00,2
2019-07-26 01:46:00,1
2019-07-26 04:21:00,1
2019-07-26 05:47:00,1
2019-07-26 16:11:00,3
2019-07-26 16:12:00,2
2019-07-26 16:33:00,1
2019-07-26 16:34:00,4
2019-07-26 16:55:00,3
2019-07-26 16:56:00,2
2019-07-27 01:41:00,2
2019-07-27 03:41:00,1
2019-07-27 05:47:00,1
2019-07-28 19:46:00,1
2019-07-28 19:47:00,3
2019-07-28 19:48:00,1
2019-07-28 20:08:00,3
2019-07-28 20:09:00,2
2019-07-28 20:29:00,5
2019-08-01 00:20:00,1
2019-08-01 10:44:00,1
2019-08-04 01:59:00,1
2019-08-04 03:12:00,1
2019-08-04 12:40:00,1
2019-08-05 10:26:00,1
2019-08-07 12:43:00,1
2019-08-07 12:44:00,8
2019-08-07 12:45:00,1
2019-08-09 12:30:00,1
2019-08-10 06:22:00,1
2019-08-10 18:42:00,1
2019-08-11 09:19:00,1
2019-08-12 01:37:00,1
2019-08-12 15:33:00,1
2019-08-14 12:03:00,1
2019-08-15 04:49:00,1
2019-08-15 04:59:00,1
2019-08-15 06:02:00,1
2019-08-15 06:52:00,1
2019-08-15 07:28:00,1
2019-08-15 07:37:00,1
2019-08-15 08:28:00,1
2019-08-15 08:41:00,1
2019-08-15 19:08:00,1
2019-08-15 19:45:00,1
2019-08-16 07:18:00,1
2019-08-16 13:36:00,1
2019-08-16 13:45:00,1
2019-08-18 08:32:00,1
2019-08-18 12:18:00,1
2019-08-19 18:20:00,1
2019-08-25 01:22:00,1
2019-08-25 02:11:00,1
2019-08-29 18:13:00,1
2019-08-30 06:16:00,1
2019-08-30 06:43:00,1
2019-08-30 07:48:00,1
2019-08-30 07:52:00,1
2019-08-30 08:07:00,1
2019-08-30 09:18:00,1
2019-08-30 12:41:00,1
2019-08-30 12:47:00,1
2019-08-30 12:53:00,1
2019-08-30 12:57:00,1
2019-08-30 13:03:00,1
2019-08-30 13:55:00,1
2019-08-30 14:03:00,1
2019-08-30 14:16:00,1
2019-08-30 14:25:00,1
2019-08-30 17:09:00,1
2019-08-30 17:26:00,1
2019-08-30 17:39:00,1
2019-08-30 17:59:00,1
2019-08-30 18:09:00,1
2019-08-31 06:29:00,1
2019-08-31 09:35:00,1
2019-09-01 07:57:00,1
2019-09-01 11:46:00,1
2019-09-02 08:28:00,1
2019-09-02 13:22:00,1
2019-09-02 14:26:00,2
2019-09-02 14:27:00,6
2019-09-02 14:28:00,1
2019-09-03 01:38:00,1
2019-09-03 02:04:00,1
2019-09-03 02:17:00,1
2019-09-04 09:46:00,4
2019-09-06 09:36:00,1
2019-09-08 07:25:00,1
2019-09-08 08:09:00,1
2019-09-09 08:58:00,1
2019-09-10 08:12:00,1
2019-09-10 21:15:00,1
2019-09-12 11:41:00,1
2019-09-12 11:55:00,1
2019-09-12 12:04:00,1
2019-09-12 12:13:00,1
2019-09-12 12:44:00,1
2019-09-12 15:30:00,1
2019-09-12 15:35:00,1
2019-09-17 22:53:00,1
2019-09-17 22:54:00,1
2019-09-18 08:05:00,1
2019-09-18 08:30:00,1
2019-09-18 09:50:00,1
2019-09-18 10:37:00,1
2019-09-18 10:38:00,1
2019-09-19 07:39:00,1
2019-09-19 09:43:00,1
2019-09-19 12:11:00,1
2019-09-20 13:45:00,1
2019-09-20 14:22:00,1
2019-09-21 02:44:00,1
2019-09-21 19:43:00,1
2019-09-21 19:46:00,1
2019-09-21 20:23:00,1
2019-09-21 20:27:00,1
2019-09-21 20:32:00,1
2019-09-22 02:25:00,1
2019-09-22 04:05:00,1
2019-09-22 07:14:00,1
2019-09-22 15:26:00,1
2019-09-22 20:05:00,1
2019-09-23 13:13:00,1
2019-09-23 14:46:00,1
2019-09-24 03:54:00,1
2019-09-24 04:01:00,1
2019-09-24 04:10:00,1
2019-09-24 04:18:00,1
2019-09-25 07:25:00,1
2019-09-25 07:53:00,1
2019-09-26 03:12:00,1
2019-09-26 03:21:00,1
2019-09-26 03:56:00,1
2019-09-26 04:02:00,1
2019-09-26 04:11:00,1
2019-09-26 04:34:00,1
2019-09-26 05:11:00,1
2019-09-26 08:42:00,1
2019-09-26 11:46:00,1
2019-09-26 12:04:00,1
2019-09-27 08:41:00,1
2019-09-28 08:04:00,1
2019-09-28 21:12:00,1
2019-10-02 08:34:00,1
2019-10-07 15:06:00,1
2019-10-07 15:07:00,1
2019-10-07 15:08:00,1
2019-10-07 15:40:00,1
2019-10-08 04:45:00,1
2019-10-08 13:52:00,1
2019-10-08 13:53:00,1
2019-10-10 07:59:00,1
2019-10-11 12:02:00,1
2019-10-11 12:03:00,1
2019-10-11 14:35:00,1
2019-10-14 11:24:00,1
2019-10-15 16:11:00,2
2019-10-15 16:12:00,2
2019-11-05 09:54:00,1
2019-11-05 10:54:00,1
2019-11-05 11:37:00,1
2019-11-05 11:54:00,1
2019-11-05 11:58:00,1
2019-11-05 12:48:00,1
2019-11-05 13:01:00,1
2019-11-06 08:18:00,1
2019-11-06 08:31:00,1
2019-11-06 08:34:00,1
2019-11-06 11:14:00,1
2019-11-07 16:54:00,1
2019-11-07 16:55:00,1
2019-11-07 16:57:00,1
2019-11-07 16:59:00,1
2019-11-07 17:00:00,1
2019-11-08 08:04:00,1
2019-11-08 10:17:00,1
2019-11-08 10:46:00,1
2019-11-08 11:27:00,1
2019-11-08 11:28:00,1
2019-11-08 11:36:00,1
2019-11-09 19:00:00,1
2019-11-09 21:51:00,1
2019-11-09 21:52:00,3
2019-11-09 21:56:00,1
2019-11-10 15:34:00,1
2019-11-10 15:35:00,2
2019-11-10 15:36:00,1
2019-11-11 09:30:00,1
2019-11-11 10:04:00,1
2019-11-15 08:50:00,1
2019-11-15 09:04:00,1
2019-11-26 10:56:00,1
2019-11-26 11:00:00,1
2019-12-02 10:36:00,1
2019-12-05 07:49:00,1
2019-12-05 13:41:00,1
2019-12-10 12:57:00,1
2019-12-10 13:24:00,1
2019-12-10 13:58:00,1
2019-12-10 14:12:00,1
2019-12-11 09:57:00,1
2019-12-11 12:39:00,1
2019-12-11 14:09:00,1
2019-12-12 05:57:00,4
2019-12-12 05:58:00,1
2019-12-12 06:06:00,1
2019-12-12 07:35:00,1
2019-12-14 12:57:00,1
2019-12-14 13:03:00,1
2019-12-14 13:39:00,1
2019-12-14 23:06:00,1
2019-12-16 12:35:00,1
2019-12-17 13:01:00,1
2019-12-19 01:27:00,1
2019-12-19 08:19:00,1
