281,"SELECT DISTINCT p.ra, p.dec, p.g FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-01-03 19:51:00,2
2019-01-06 00:03:00,1
2019-01-06 00:04:00,1
2019-01-07 00:40:00,2
2019-01-07 09:46:00,1
2019-01-07 09:47:00,1
2019-01-07 09:50:00,1
2019-01-07 09:53:00,1
2019-01-07 09:55:00,1
2019-01-07 10:03:00,1
2019-01-07 10:13:00,1
2019-01-07 10:19:00,1
2019-01-07 10:27:00,1
2019-01-07 22:22:00,1
2019-01-08 00:59:00,1
2019-01-08 01:01:00,1
2019-01-08 01:05:00,2
2019-01-08 03:18:00,1
2019-01-08 03:19:00,1
2019-01-08 03:20:00,1
2019-01-08 08:25:00,1
2019-01-08 08:32:00,1
2019-01-08 09:25:00,1
2019-01-08 09:26:00,2
2019-01-08 09:33:00,1
2019-01-08 23:13:00,1
2019-01-09 00:08:00,1
2019-01-09 00:39:00,2
2019-01-09 00:43:00,1
2019-01-15 15:38:00,1
2019-01-15 16:43:00,1
2019-01-17 15:35:00,1
2019-01-22 15:36:00,1
2019-01-22 19:17:00,1
2019-01-22 19:47:00,1
2019-01-25 21:38:00,1
2019-01-28 15:32:00,1
2019-01-28 16:05:00,2
2019-01-28 18:50:00,1
2019-01-28 19:33:00,1
2019-01-28 19:36:00,1
2019-01-31 18:46:00,1
2019-01-31 18:49:00,1
2019-01-31 19:49:00,1
2019-01-31 19:50:00,1
2019-01-31 20:44:00,1
2019-02-01 18:02:00,1
2019-02-01 18:05:00,1
2019-02-01 18:47:00,1
2019-02-01 18:51:00,1
2019-02-01 19:21:00,1
2019-02-01 20:04:00,1
2019-02-01 20:06:00,1
2019-02-04 20:27:00,1
2019-02-04 20:35:00,2
2019-02-04 20:41:00,1
2019-02-04 20:51:00,1
2019-02-04 22:28:00,1
2019-02-05 18:12:00,1
2019-02-05 18:47:00,1
2019-02-05 22:05:00,1
2019-02-05 23:04:00,1
2019-02-06 14:55:00,1
2019-02-07 16:22:00,1
2019-02-11 19:40:00,1
2019-02-11 20:17:00,1
2019-02-12 14:35:00,1
2019-02-13 20:35:00,1
2019-02-14 18:52:00,1
2019-02-14 19:15:00,1
2019-02-18 21:16:00,1
2019-02-18 21:41:00,1
2019-02-18 22:33:00,1
2019-02-19 14:30:00,1
2019-02-19 14:51:00,1
2019-02-19 15:15:00,1
2019-02-19 15:40:00,1
2019-02-19 16:04:00,1
2019-02-19 19:54:00,1
2019-02-19 20:32:00,1
2019-02-19 20:51:00,1
2019-02-19 21:11:00,1
2019-02-19 22:30:00,1
2019-02-20 17:17:00,1
2019-02-20 17:25:00,1
2019-02-20 22:00:00,1
2019-02-21 14:49:00,1
2019-02-21 15:33:00,1
2019-02-21 15:54:00,1
2019-02-21 16:16:00,1
2019-02-21 17:00:00,1
2019-02-21 17:42:00,1
2019-02-21 17:53:00,1
2019-02-21 18:20:00,1
2019-02-21 20:17:00,1
2019-02-21 23:02:00,1
2019-02-21 23:06:00,1
2019-02-24 19:48:00,1
2019-02-24 20:02:00,1
2019-02-25 14:24:00,1
2019-02-25 14:26:00,1
2019-02-25 14:28:00,1
2019-02-25 14:31:00,1
2019-02-26 16:45:00,1
