13,"SELECT encoding_id, value, meaning FROM metadata.esimpint UNION SELECT encoding_id, value, meaning FROM metadata.esimpreal UNION SELECT encoding_id, value, meaning FROM metadata.esimpstring UNION SELECT encoding_id, value, meaning FROM metadata.esimpdate ; Go"
2019-09-12 10:01:00,1
2019-09-12 10:02:00,1
2019-09-12 10:03:00,2
2019-09-12 10:04:00,1
2019-09-12 10:08:00,1
2019-09-12 10:25:00,1
2019-09-12 10:29:00,1
2019-09-12 10:32:00,1
2019-09-12 10:37:00,1
2019-09-12 10:55:00,1
2019-09-12 10:56:00,1
2019-09-12 13:29:00,1
