3,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from photoobj p, dbo.fgetNearByObjEq (#, # , #) n where p.objid = n.objid"
2019-03-20 08:27:00,2
2019-09-10 11:11:00,1
