41,select fieldid from field where a_g between .# and # and skyframes_g between # and #
2019-01-25 07:49:00,3
2019-01-25 07:50:00,2
2019-01-25 10:13:00,1
2019-01-28 18:19:00,1
2019-01-28 18:20:00,1
2019-01-28 18:21:00,1
2019-01-28 18:36:00,1
2019-01-28 18:37:00,4
2019-01-28 18:38:00,1
2019-01-28 18:47:00,1
2019-01-28 19:11:00,1
2019-01-28 20:24:00,5
2019-01-28 20:38:00,7
2019-01-28 20:39:00,1
2019-02-26 10:57:00,1
2019-02-26 11:11:00,2
2019-02-26 12:53:00,1
2019-02-26 13:23:00,4
2019-02-26 13:25:00,1
2019-02-26 13:31:00,2
