8,"SELECT ra, dec FROM Galaxy WHERE stripe = # AND gal.petroMag_g < # AND sp.z < # AND sp.z > #"
2019-08-29 12:56:00,2
2019-08-29 12:58:00,3
2019-08-29 14:36:00,2
2019-08-29 16:55:00,1
