65,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM BESTDR9..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = #"
2019-01-20 16:45:00,1
2019-01-29 11:49:00,1
2019-02-09 12:03:00,2
2019-02-10 01:53:00,2
2019-02-12 10:42:00,2
2019-02-12 19:03:00,1
2019-02-12 19:04:00,1
2019-02-28 15:12:00,1
2019-03-02 01:25:00,1
2019-03-02 01:28:00,1
2019-03-03 01:06:00,1
2019-03-21 14:11:00,1
2019-03-29 17:56:00,1
2019-03-29 17:57:00,1
2019-04-05 11:06:00,1
2019-04-08 07:31:00,1
2019-05-04 04:30:00,1
2019-05-05 04:24:00,1
2019-05-05 15:27:00,1
2019-05-10 20:27:00,1
2019-05-15 01:18:00,1
2019-05-15 10:39:00,1
2019-05-21 08:01:00,1
2019-06-26 08:19:00,1
2019-06-26 09:53:00,1
2019-07-08 07:47:00,1
2019-07-11 05:56:00,1
2019-07-12 09:30:00,1
2019-07-22 16:03:00,1
2019-07-24 05:14:00,1
2019-07-26 07:04:00,1
2019-07-26 07:06:00,1
2019-07-28 20:39:00,1
2019-07-28 20:40:00,1
2019-08-11 23:15:00,1
2019-08-26 01:46:00,1
2019-08-28 17:47:00,1
2019-09-14 17:36:00,1
2019-09-14 17:37:00,1
2019-10-04 20:19:00,1
2019-10-09 15:52:00,1
2019-10-14 00:23:00,1
2019-10-18 15:17:00,1
2019-10-21 12:04:00,1
2019-10-28 21:27:00,2
2019-10-29 14:19:00,1
2019-11-07 06:30:00,1
2019-11-12 16:32:00,1
2019-12-02 02:12:00,1
2019-12-02 02:13:00,3
2019-12-03 17:41:00,3
2019-12-03 20:47:00,1
2019-12-14 17:15:00,1
2019-12-15 19:19:00,1
2019-12-16 20:22:00,3
