9,"select ra, dec from specObj where ra = # AND dec = #"
2019-03-07 04:20:00,1
2019-08-02 20:48:00,1
2019-09-28 00:12:00,1
2019-10-24 08:49:00,1
2019-10-24 08:50:00,4
2019-10-24 08:51:00,1
