7,"SELECT TOP # p.objid, p.ra, p.dec, p.petror9#_r, p.dered_g, dered_r, s.z as z_spec, s.zErr, zns.nvote, zns.p_cw as spiralclock, zns.p_acw as spiralanticlock FROM Galaxy as p JOIN ZooNoSpec AS zns ON p.objid = zns.objid JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.clean = # and zns.nvote > = # and zns.p_el > #"
2019-02-21 17:51:00,1
2019-02-21 17:52:00,1
2019-02-21 17:54:00,1
2019-02-21 17:55:00,2
2019-02-21 18:00:00,2
