38,select fieldid from field where skyslope_r between -.# and .# and medianpsfcolor_r between # and #
2019-01-24 17:48:00,1
2019-01-24 20:46:00,2
2019-01-24 22:41:00,1
2019-01-24 22:44:00,1
2019-01-24 22:49:00,1
2019-01-24 23:07:00,1
2019-01-24 23:08:00,1
2019-01-25 00:33:00,1
2019-01-25 00:37:00,1
2019-01-25 01:34:00,4
2019-01-25 03:46:00,1
2019-01-25 04:22:00,1
2019-01-25 06:07:00,3
2019-01-25 08:35:00,2
2019-01-25 14:44:00,2
2019-01-25 17:11:00,1
2019-01-28 16:50:00,3
2019-01-28 17:12:00,1
2019-01-28 17:50:00,1
2019-01-28 20:24:00,2
2019-01-28 23:19:00,1
2019-01-28 23:50:00,1
2019-02-26 10:59:00,1
2019-02-26 11:09:00,1
2019-02-26 13:15:00,3
