73,select objid from photoprimary where photoprimary.ra between # and #
2019-02-26 21:59:00,1
2019-02-26 22:02:00,1
2019-02-27 00:36:00,3
2019-02-27 00:41:00,1
2019-03-01 13:14:00,10
2019-03-01 13:15:00,1
2019-03-01 23:44:00,6
2019-03-02 00:50:00,5
2019-03-02 09:17:00,4
2019-03-02 09:39:00,6
2019-03-03 10:35:00,9
2019-03-03 10:52:00,8
2019-03-03 14:27:00,10
2019-03-04 06:32:00,1
2019-03-04 06:33:00,1
2019-03-04 10:00:00,2
2019-03-04 10:03:00,4
