5,"select ra, dec, subclass from specphoto where ra > # and ra < # and dec > # and dec < #"
2019-12-30 08:12:00,1
2019-12-30 08:14:00,2
2019-12-30 08:16:00,1
2019-12-30 08:28:00,1
