2736,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-01-02 06:13:00,1
2019-01-02 14:23:00,1
2019-01-02 15:03:00,1
2019-01-02 15:09:00,1
2019-01-02 19:58:00,1
2019-01-02 21:40:00,1
2019-01-03 10:27:00,1
2019-01-03 10:39:00,1
2019-01-04 02:13:00,1
2019-01-04 13:16:00,1
2019-01-04 15:05:00,1
2019-01-04 16:04:00,1
2019-01-04 16:12:00,1
2019-01-04 18:33:00,1
2019-01-05 07:48:00,1
2019-01-05 07:51:00,1
2019-01-05 09:10:00,1
2019-01-05 12:29:00,1
2019-01-05 12:35:00,1
2019-01-05 17:50:00,1
2019-01-06 03:42:00,1
2019-01-06 09:00:00,1
2019-01-06 14:57:00,1
2019-01-06 15:39:00,1
2019-01-07 02:25:00,1
2019-01-07 14:27:00,1
2019-01-07 23:40:00,2
2019-01-07 23:46:00,1
2019-01-07 23:47:00,1
2019-01-07 23:49:00,2
2019-01-07 23:50:00,1
2019-01-07 23:51:00,1
2019-01-09 14:09:00,1
2019-01-10 02:51:00,1
2019-01-10 11:35:00,1
2019-01-10 15:11:00,1
2019-01-10 16:13:00,1
2019-01-10 17:09:00,1
2019-01-10 18:04:00,1
2019-01-10 18:05:00,1
2019-01-10 20:40:00,1
2019-01-11 03:48:00,1
2019-01-11 04:22:00,1
2019-01-11 04:24:00,2
2019-01-11 10:17:00,1
2019-01-11 10:18:00,1
2019-01-11 21:46:00,1
2019-01-12 18:04:00,1
2019-01-13 12:47:00,1
2019-01-13 14:05:00,1
2019-01-14 08:47:00,1
2019-01-14 09:00:00,1
2019-01-14 09:01:00,1
2019-01-14 10:22:00,1
2019-01-14 12:08:00,1
2019-01-14 13:54:00,1
2019-01-14 22:06:00,1
2019-01-15 01:11:00,1
2019-01-15 06:12:00,1
2019-01-15 13:42:00,1
2019-01-15 15:02:00,1
2019-01-15 15:03:00,1
2019-01-15 15:21:00,1
2019-01-15 20:28:00,1
2019-01-16 01:06:00,1
2019-01-16 08:04:00,7
2019-01-16 08:06:00,6
2019-01-16 08:07:00,4
2019-01-16 08:08:00,2
2019-01-16 08:11:00,2
2019-01-16 08:15:00,2
2019-01-16 08:23:00,1
2019-01-16 08:28:00,1
2019-01-16 08:58:00,1
2019-01-16 08:59:00,1
2019-01-16 09:23:00,1
2019-01-16 09:59:00,1
2019-01-16 10:01:00,1
2019-01-16 11:02:00,1
2019-01-16 11:03:00,1
2019-01-16 11:07:00,1
2019-01-16 16:05:00,1
2019-01-16 16:11:00,2
2019-01-16 16:12:00,1
2019-01-16 16:15:00,1
2019-01-17 02:35:00,1
2019-01-17 14:40:00,1
2019-01-17 14:43:00,1
2019-01-17 14:44:00,2
2019-01-17 15:41:00,1
2019-01-17 18:29:00,1
2019-01-17 18:31:00,1
2019-01-17 18:32:00,1
2019-01-17 18:33:00,1
2019-01-17 19:08:00,1
2019-01-17 19:09:00,1
2019-01-17 19:14:00,1
2019-01-17 19:15:00,1
2019-01-17 19:16:00,2
2019-01-17 19:22:00,1
2019-01-17 21:16:00,1
2019-01-17 21:50:00,1
2019-01-17 22:43:00,2
2019-01-17 22:44:00,1
2019-01-17 22:45:00,2
2019-01-17 22:49:00,2
2019-01-17 22:50:00,2
2019-01-17 23:01:00,1
2019-01-18 01:23:00,1
2019-01-18 01:29:00,1
2019-01-18 02:20:00,1
2019-01-18 02:21:00,1
2019-01-18 07:50:00,2
2019-01-18 09:39:00,1
2019-01-18 12:15:00,3
2019-01-18 14:45:00,1
2019-01-18 22:33:00,1
2019-01-18 22:36:00,1
2019-01-18 23:20:00,1
2019-01-18 23:36:00,1
2019-01-21 01:51:00,1
2019-01-21 07:38:00,1
2019-01-21 09:19:00,1
2019-01-21 09:22:00,2
2019-01-21 09:33:00,1
2019-01-21 09:34:00,2
2019-01-21 09:35:00,1
2019-01-21 09:36:00,1
2019-01-21 09:43:00,5
2019-01-21 09:49:00,2
2019-01-22 01:45:00,1
2019-01-22 07:59:00,1
2019-01-22 11:42:00,1
2019-01-22 14:11:00,1
2019-01-22 17:29:00,1
