3,"SELECT top # g.ra, g.dec, ph.z, ph.zerr, g.u, g.g, g.r, g.i, g.z FROM galaxy as g, photoz as ph where ph.objID = g.objID and g.ra BETWEEN # and # and g.dec BETWEEN # and # and ph.z BETWEEN # and # and ph.zerr BETWEEN # and # and clean = # order by g.ra"
2019-06-24 11:30:00,1
2019-06-24 11:31:00,1
2019-06-24 11:32:00,1
