60,"SELECT TOP # z as Redshift, dered_u as u, dered_g as g, dered_r as r, dered_i as i, dered_z as z FROM SpecPhotoAll WHERE type = # AND z BETWEEN # AND # AND zErr < #"
2019-01-06 02:26:00,1
2019-01-06 02:37:00,1
2019-01-06 02:40:00,1
2019-01-06 02:43:00,1
2019-01-06 02:44:00,1
2019-01-06 02:51:00,1
2019-01-08 20:41:00,1
2019-01-08 20:43:00,1
2019-01-09 22:13:00,1
2019-01-14 19:46:00,2
2019-01-14 19:47:00,1
2019-01-14 23:05:00,1
2019-01-14 23:06:00,1
2019-01-14 23:38:00,1
2019-01-15 07:43:00,1
2019-02-05 18:53:00,2
2019-02-05 18:54:00,1
2019-02-08 19:00:00,1
2019-09-09 21:00:00,1
2019-09-14 18:52:00,1
2019-09-14 19:01:00,1
2019-09-15 14:08:00,1
2019-09-15 14:09:00,1
2019-09-15 14:35:00,1
2019-09-15 14:36:00,1
2019-09-15 14:37:00,3
2019-09-16 18:19:00,1
2019-09-16 18:24:00,1
2019-09-16 18:28:00,1
2019-09-16 19:40:00,1
2019-09-16 20:25:00,2
2019-09-17 15:28:00,1
2019-09-17 15:29:00,1
2019-09-17 16:43:00,1
2019-09-17 19:00:00,1
2019-09-17 19:01:00,3
2019-09-17 23:27:00,1
2019-09-17 23:28:00,1
2019-09-18 01:44:00,1
2019-09-18 15:25:00,1
2019-09-18 15:27:00,1
2019-09-18 16:51:00,2
2019-09-18 17:24:00,1
2019-09-18 21:20:00,1
2019-09-18 21:21:00,1
2019-09-18 21:32:00,1
2019-09-18 22:41:00,2
2019-09-19 10:52:00,1
2019-09-19 14:44:00,1
2019-09-25 11:42:00,1
2019-12-05 00:02:00,1
