19,"SELECT TOP # p.ra, p.dec, p.psfMag_u as u, p.psfMag_g as g, p.psfMag_r as r, p.psfMag_i as i, p.z FROM PhotoObj AS p WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-11-01 19:05:00,1
2019-11-01 19:07:00,1
2019-11-04 09:18:00,1
2019-11-04 09:19:00,2
2019-11-04 09:25:00,1
2019-11-04 09:32:00,2
2019-11-04 09:33:00,1
2019-11-04 09:34:00,1
2019-11-04 09:37:00,1
2019-11-04 09:39:00,1
2019-11-05 12:58:00,1
2019-11-07 08:47:00,1
2019-11-09 09:49:00,1
2019-11-09 09:50:00,1
2019-11-09 09:59:00,1
2019-11-09 10:42:00,2
