79,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.type, p.rerun, p.camcol, p.field, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-01-14 11:47:00,1
2019-01-14 11:51:00,1
2019-01-15 11:40:00,1
2019-01-15 11:44:00,1
2019-01-15 11:52:00,1
2019-01-15 13:27:00,2
2019-01-15 13:28:00,1
2019-01-15 13:34:00,1
2019-01-15 13:35:00,1
2019-01-15 13:36:00,1
2019-01-15 13:37:00,1
2019-01-15 13:38:00,1
2019-01-15 13:40:00,1
2019-01-15 13:41:00,1
2019-01-15 13:42:00,1
2019-01-15 14:01:00,1
2019-01-15 14:14:00,1
2019-01-15 16:01:00,1
2019-02-01 11:40:00,1
2019-02-01 11:55:00,1
2019-02-02 11:29:00,1
2019-02-05 16:54:00,1
2019-02-06 11:21:00,1
2019-02-07 16:32:00,1
2019-02-07 16:46:00,1
2019-02-07 16:47:00,1
2019-02-07 17:08:00,1
2019-02-08 11:28:00,1
2019-02-08 11:40:00,1
2019-02-08 13:21:00,1
2019-02-08 14:32:00,1
2019-02-08 16:30:00,2
2019-02-08 16:53:00,1
2019-02-08 16:54:00,1
2019-02-08 16:55:00,1
2019-02-08 17:07:00,1
2019-02-08 17:08:00,2
2019-02-08 17:13:00,1
2019-02-08 17:14:00,1
2019-02-08 17:19:00,1
2019-02-08 17:20:00,2
2019-02-08 17:21:00,2
2019-02-08 17:22:00,1
2019-02-08 17:36:00,1
2019-02-08 17:37:00,1
2019-02-08 17:38:00,1
2019-02-08 17:41:00,1
2019-02-08 17:42:00,1
2019-02-08 17:43:00,1
2019-02-08 17:44:00,1
2019-02-08 17:45:00,2
2019-02-08 17:46:00,1
2019-02-08 17:47:00,1
2019-02-08 17:57:00,1
2019-02-13 16:26:00,1
2019-03-06 12:07:00,1
2019-03-06 12:54:00,1
2019-03-06 13:01:00,1
2019-04-11 17:17:00,1
2019-04-11 17:21:00,1
2019-04-11 17:32:00,1
2019-04-11 17:34:00,1
2019-05-02 10:38:00,1
2019-05-02 11:53:00,1
2019-05-02 11:56:00,1
2019-05-06 12:00:00,1
2019-05-14 16:59:00,1
2019-05-15 12:05:00,1
2019-08-06 11:27:00,1
2019-08-06 11:30:00,1
2019-08-06 11:33:00,1
2019-08-06 11:35:00,1
2019-08-06 11:39:00,1
