4,"SELECT p.objid s.specobjid, p.ra, p.dec, FROM PhotoObj p JOIN SpecObj s ON s.bestObjID = p.objid WHERE p.type = # AND s.class = #"
2019-10-08 09:55:00,2
2019-10-08 09:57:00,2
