20,"SELECT ra, dec, dered_u, dered_g, dered_r, dered_i, dered_z into mydb.Area1Phys3# from PhotoObjAll Where ra> # and ra< # and dec> # and dec< # And dered_u< # and dered_u> #"
2019-04-20 02:09:00,1
2019-04-20 06:52:00,1
2019-04-21 08:31:00,1
2019-04-21 08:33:00,1
2019-04-24 05:31:00,1
2019-04-24 05:38:00,1
2019-04-24 05:41:00,1
2019-04-24 05:43:00,1
2019-04-24 05:46:00,1
2019-04-24 11:28:00,1
2019-04-24 11:29:00,1
2019-04-30 03:45:00,1
2019-04-30 06:53:00,1
2019-05-01 08:10:00,1
2019-05-01 08:17:00,1
2019-05-08 18:15:00,1
2019-05-08 18:18:00,1
2019-05-08 18:24:00,1
2019-05-08 18:38:00,1
2019-05-08 18:39:00,1
