39,"SELECT TOP # p.objId, p.ra, p.dec, p.petror9#_r, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, s.z as z_spec, s.zErr FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # and #.*s.z> # and #.*s.z< #"
2019-02-06 18:58:00,1
2019-02-07 17:28:00,1
2019-02-09 14:52:00,1
2019-02-09 14:59:00,2
2019-02-09 15:07:00,1
2019-02-09 15:26:00,2
2019-02-09 15:35:00,1
2019-02-09 15:53:00,1
2019-02-09 15:55:00,1
2019-02-09 17:41:00,1
2019-02-09 17:43:00,1
2019-02-09 18:05:00,1
2019-02-09 18:08:00,1
2019-02-11 00:20:00,1
2019-02-14 15:31:00,1
2019-02-14 16:55:00,1
2019-02-19 16:18:00,1
2019-02-20 11:23:00,1
2019-02-20 11:43:00,1
2019-02-20 11:55:00,1
2019-02-20 12:01:00,1
2019-02-20 12:23:00,1
2019-02-20 12:39:00,1
2019-02-20 14:33:00,1
2019-02-20 15:13:00,1
2019-02-20 15:25:00,1
2019-02-20 16:56:00,1
2019-02-20 17:14:00,1
2019-02-20 17:39:00,1
2019-02-20 17:40:00,1
2019-02-20 18:56:00,1
2019-02-21 12:09:00,1
2019-02-21 12:47:00,1
2019-02-21 17:47:00,1
2019-03-15 09:18:00,1
2019-03-15 09:26:00,1
2019-03-15 09:51:00,1
