3,"SELECT top # p.objID, p.psfMag_r, p.r, p.psfMag_r-p.r, dbo.fPhotoTypeN (p.Type) as type FROM photoObj p, dbo.fGetNearbyObjEq (#, #, #) n WHERE p.objID = n.objID and p.clean = # and petroMag_r < = #"
2019-01-27 11:34:00,1
2019-01-27 11:35:00,2
