39,SELECT MAX (z)
2019-02-24 23:33:00,1
2019-02-24 23:43:00,1
2019-02-24 23:47:00,1
2019-03-02 17:16:00,1
2019-03-05 12:14:00,1
2019-03-07 12:42:00,1
2019-03-07 12:46:00,2
2019-03-08 11:22:00,1
2019-03-08 21:41:00,1
2019-03-09 11:52:00,1
2019-03-10 13:25:00,1
2019-03-11 22:16:00,1
2019-03-11 22:31:00,1
2019-03-11 22:33:00,1
2019-03-12 12:24:00,1
2019-03-14 15:58:00,1
2019-03-15 14:53:00,2
2019-03-15 15:03:00,1
2019-03-16 20:21:00,1
2019-03-17 01:53:00,1
2019-03-17 11:31:00,1
2019-03-17 17:59:00,1
2019-03-21 17:29:00,1
2019-03-21 18:38:00,1
2019-03-22 18:05:00,1
2019-03-22 18:10:00,1
2019-03-22 18:11:00,1
2019-03-22 18:16:00,1
2019-03-22 18:17:00,3
2019-03-22 18:18:00,4
2019-04-26 18:13:00,1
2019-05-07 14:55:00,1
