2,"SELECT TOP # p.specobjid, p.objid, p.ra, p.dec, pz.z, p.dered_r FROM PhotoPrimary AS p JOIN Photoz AS pz ON pz.objid = p.objid WHERE p.specobjid = # and p.type = # and p.dered_r BETWEEN # and #"
2019-07-19 17:22:00,1
2019-07-19 17:23:00,1
