3,"SELECT P.ObjID, P.ra, P.dec, S.z, S.specclass, S.plate, S.mjd, S.fiberid, P.petromag_u, P.petromag_g, P.petromag_r, P.petromag_i, P.petromag_z, P.modelmag_u, P.modelmag_g, P.modelmag_r, P.modelmag_i, P.modelmag_z, p.fibermag_u, p.fibermag_g, p.fibermag_r, P.fibermag_i, p.fibermag_z, P.petromagerr_u, P.petromagerr_g, P.petromagerr_r, P.petromagerr_i, P.petromagerr_z, P.modelmagerr_u, P.modelmagerr_g, P.modelmagerr_r, P.modelmagerr_i, P.modelmagerr_z, p.fibermagerr_u, p.fibermagerr_g, p.fibermagerr_r, P.fibermagerr_i, p.fibermagerr_z, P.isoA_r, P.isoB_r, P.devrad_r, P.fracDeV_u, P.fracDeV_g, P.fracDeV_r, p.petroR9#_u, p.petroR5#_u, p.petroR9#_g, p.petroR5#_g, p.petroR9#_r, p.petroR5#_r into mydb.EVCC_OSSY_#_v2 From SpecObj S, galaxy G, PhotoObjAll P, mydb.EVCC_OSSY_# x WHERE x.id = P.Objid and P.ObjID = S.bestObjID and S.bestObjID = G.ObjID"
2019-04-23 01:54:00,2
2019-04-23 02:02:00,1
