2,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from star p, specobj s where p.objid = s.bestobjid and (p.g BETWEEN # AND #)"
2019-12-13 07:01:00,1
2019-12-13 07:02:00,1
