16,"SELECT s.specobjid, s.ra, s.dec, s.plate, s.mjd, s.fiberid, p.objID, p.run, p.rerun, p.camcol, p.field FROM #upload u JOIN SpecObjAll s ON (s.plate = u.up_plate AND s.mjd = u.up_mjd AND s.fiberID = u.up_fiber) JOIN PhotoTag p ON p.objID = s.bestObjID"
2019-01-11 15:50:00,1
2019-02-10 11:09:00,1
2019-02-13 09:16:00,1
2019-02-13 09:18:00,1
2019-02-22 08:50:00,1
2019-03-07 12:35:00,1
2019-03-07 12:37:00,1
2019-03-07 12:38:00,1
2019-03-07 15:08:00,1
2019-03-11 02:28:00,1
2019-03-11 02:41:00,1
2019-04-16 16:25:00,1
2019-05-17 09:46:00,1
2019-05-17 09:49:00,1
2019-10-14 01:51:00,1
2019-11-06 06:04:00,1
