380,"select top # ra, dec, z from SpecPhotoAll where ra between # and #"
2019-01-21 11:56:00,2
2019-01-21 11:57:00,1
2019-01-21 11:58:00,1
2019-01-21 12:03:00,1
2019-01-21 12:04:00,1
2019-01-21 12:07:00,1
2019-01-21 12:08:00,3
2019-01-21 12:09:00,1
2019-01-21 12:10:00,1
2019-01-21 12:16:00,9
2019-01-21 12:18:00,11
2019-01-21 12:20:00,14
2019-01-21 12:21:00,6
2019-01-21 12:22:00,27
2019-01-21 12:23:00,63
2019-01-21 12:24:00,21
2019-01-21 12:25:00,20
2019-01-21 12:26:00,18
2019-01-21 12:27:00,20
2019-01-21 12:28:00,18
2019-01-21 12:29:00,19
2019-01-21 12:30:00,32
2019-01-21 12:34:00,34
2019-01-21 12:35:00,40
2019-01-21 12:36:00,16
