2,"SELECT TOP # objid, ra, dec, u, g, r, i, z, run, rerun, camcol, field, specobjid, class, z as redshift, plate, mjd, fiberid FROM PhotoObj"
2019-07-05 21:03:00,1
2019-07-06 06:55:00,1
